Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-09-25,1.5706,1.571294152658638,1.571294152658638,0.0127347978522929,0.044186890850198786,-0.031452092997905884,0.030164252837393657,-0.011105353424844866,0.25538978269014895,0.2579826388370901,50,2,"MSCI EM, Gold",0.029739365217391338,MSCI EM,Gold,,-0.02040184241576276,0.03074466741282658,,True,-0.05927196494139393,-0.0006941526586379254,-2.0744112565955537,-2.0744112565955537,BUY,1,True,-0.0033745065580033096,False,Gold,0.03074466741282658,0.03074466741282658,1.0,0.0,1.0,,0.0
2001-10-01,1.5727,1.5732451744220814,1.5732451744220814,-0.4124502182537348,0.025631934349351473,-0.43808215260308625,0.030804367426267576,-0.01043799991729566,0.25725141138991164,0.25986316780516683,50,2,"MSCI EM, Gold",0.034090107406768044,MSCI EM,Gold,,-0.019488965530040463,0.03223281853001441,,False,-0.051526062425098024,-0.0005451744220814625,-2.041811333549627,-2.041811333549627,BUY,1,True,-0.00921981306034203,False,Gold,0.03223281853001441,0.03223281853001441,1.0,-0.0,1.0049025849993634,,0.0
2001-10-15,1.5582,1.5759817063352106,1.5759817063352106,-0.3075742524718816,0.012740381533586871,-0.32031463400546845,0.017977469880232633,-0.023810722890821312,0.2660313606044534,0.2687322558452753,50,2,"MSCI EM, Gold",0.03820364913263421,MSCI EM,Gold,,-0.008481021910540367,0.02743136972342893,,False,-0.11588736186025902,-0.01778170633521059,-2.093791888789233,-2.093791888789233,BUY,1,True,0.010781671159029615,True,Gold,0.02743136972342893,0.02743136972342893,1.0,-0.0,1.0017077525933125,,-0.003179245882876214
2001-12-12,1.5661,1.5995214404168994,1.5995214404168994,-0.3633006959686435,-0.046448020671113095,-0.3168526752975304,0.01874356924375964,-0.023012023554378258,0.28913139928425413,0.2920668186969305,50,2,"MSCI World ex-US, Gold",0.0005552613233169986,MSCI World ex-US,Gold,,-0.02103339544330282,-0.06112393418094899,,False,-0.13601683332884146,-0.03342144041689932,-2.043224687243182,-2.043224687243182,BUY,1,True,0.022029244620394683,True,Gold,-0.06112393418094899,0.06112393418094899,1.0,-0.0,1.0065935046917012,,0.0
2001-12-14,1.56,1.5983941290026542,1.5983941290026542,-0.6644542718668545,-0.1035302083765144,-0.5609240634903401,0.03441757147043378,-0.006671042509547753,0.2933594735737299,0.2963378186990003,50,2,"MSCI World ex-US, Gold",-0.0060710853177529545,MSCI World ex-US,Gold,,-0.035784307211261066,-0.07847480456696503,,False,-0.1571631729834092,-0.038394129002654154,-2.407370018286692,-2.407370018286692,BUY,1,True,0.01961538461538459,True,Gold,-0.07847480456696503,0.07847480456696503,1.0,-0.0,1.0093572822730652,,0.0
2001-12-26,1.6006,1.575746810821384,1.575746810821384,0.3442128754543361,0.015322441176190752,0.32889043427814535,0.032630333897758934,-0.008534332744889683,0.3136146741764938,0.31679866112829774,50,2,"MSCI EM, Gold",0.04353953249457467,MSCI EM,Gold,,-0.02648415644248629,-0.09576673051253713,,False,0.20500009896432658,0.02485318917861612,2.2340385683552273,2.2340385683552273,SELL,1,True,-0.0024990628514307556,True,Gold,-0.09576673051253713,0.09576673051253713,-1.0,0.0,1.0151157949732128,,0.0
2002-03-20,1.5796,1.587061431772909,1.587061431772909,-0.3475846391352621,0.13848444576518934,-0.4860690849004514,0.07214319351545284,0.05281284338035819,0.3258828276862651,0.3291913676131503,50,1,Local - Wilshire,-0.015434088802309027,Local - Wilshire,,,0.12551981612057395,,,False,-0.10000449940995831,-0.007461431772909144,-2.2038135466226327,-2.2038135466226327,BUY,1,True,0.006583945302608418,True,Local - Wilshire,0.12551981612057395,0.12551981612057395,1.0,-0.0,1.0168281607400675,,0.0
2002-04-17,1.5747,1.5834763309050586,1.5834763309050586,-0.4751505660932242,-0.004422698170153552,-0.47072786792307064,0.003611602656137136,-0.01714648895519333,0.3075057932706162,0.31062775953685906,50,1,Local - Wilshire,-0.01960955141949551,Local - Wilshire,,,0.025855424580340396,,,False,-0.15573578497643104,-0.008776330905058582,-2.0130242670045644,-2.0130242670045644,BUY,1,True,-0.009652632247412085,False,Local - Wilshire,0.025855424580340396,0.025855424580340396,1.0,-0.0,1.0194674336313276,,0.0
2002-04-19,1.5721,1.5824275542558184,1.5824275542558184,-0.1461942100520752,-0.022112110508330972,-0.12408209954374422,0.0005312555316018264,-0.02029100997815636,0.2924641957476096,0.29543345152486367,50,1,Local - Wilshire,-0.031227886071344454,Local - Wilshire,,,0.009351249447244437,,,False,-0.12308096800726387,-0.010327554255818328,-2.0764887125648523,-2.0764887125648523,BUY,1,True,-0.003943769480312942,False,Local - Wilshire,0.009351249447244437,0.009351249447244437,1.0,-0.0,1.0192732123637278,,-0.00019051247856738396
2002-04-24,1.5678,1.5824003683489758,1.5824003683489758,-0.3438398803032538,-0.004457013268494759,-0.33938286703475906,0.05520633150855325,0.0355231300816482,0.2783948513804505,0.2812212675121966,50,1,MSCI World ex-US,-0.012915399052905866,MSCI World ex-US,,,-0.07667255267623944,,,False,-0.11648094948400672,-0.014600368348975712,-2.221342734466244,-2.221342734466244,BUY,1,True,0.0016583747927030323,True,MSCI World ex-US,-0.07667255267623944,0.07667255267623944,1.0,-0.0,1.0199863988872313,,0.0
