Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Strategy_Drawdown
2001-07-03,1.5113,1.510958721981463,1.510958721981463,-0.1983078386534775,-0.022584302098652014,-0.1757235365548255,0.11741774597950205,0.07986105431905532,0.3100694818277283,0.3132174760562652,50,2,"Gold, Local Index",-0.04684247985746775,Gold,Local Index,,-0.0581951093819708,-0.09529904485677808,,True,,0.0003412780185370057,,,NEUTRAL,0,False,0.01813008668034133,,Local Index,-0.09529904485677808,0.09529904485677808,0.0,0.0,1.0,0.0
2001-07-04,1.5113,1.5105284324617276,1.5105284324617276,0.0,-0.028481969351525933,0.028481969351525933,0.11810828920045491,0.080580982357921,0.3100908788465372,0.3132390903092609,50,2,"Gold, Local Index",-0.04716988108900616,Gold,Local Index,,-0.05544229955518061,-0.09975958025532769,,False,,0.0007715675382724552,,,NEUTRAL,0,False,0.01713756368689201,,Local Index,-0.09975958025532769,0.09975958025532769,0.0,0.0,1.0,0.0
2001-07-05,1.5128,1.5115022310208706,1.5115022310208706,0.0992030768172669,0.06444663878595339,0.03475643803131351,0.12224137815363711,0.08488994743677059,0.30811409305053367,0.31124223510739324,50,2,"Gold, Local Index",-0.052026301388262745,Gold,Local Index,,-0.05153879392942671,-0.10712319397286044,,False,,0.0012977689791293656,,,NEUTRAL,0,False,0.018508725542041304,,Local Index,-0.10712319397286044,0.10712319397286044,0.0,0.0,1.0,0.0
2001-07-06,1.5226,1.5145354010362182,1.5145354010362182,0.6457161527864463,0.20047146797144066,0.4452446848150057,0.1752241117122535,0.1401272654021366,0.2961853755924425,0.29919241081385806,50,2,"Gold, MSCI EM",-0.044510528487197054,Gold,MSCI EM,,-0.037080929195432905,-0.16136882997465113,,False,,0.008064598963781755,,,NEUTRAL,0,False,0.013595166163141936,,MSCI EM,-0.16136882997465113,0.16136882997465113,0.0,0.0,1.0,0.0
2001-07-09,1.5213,1.5158062722910453,1.5158062722910453,-0.0854167403029015,0.0838764381271418,-0.1692931784300433,0.21230302232082676,0.17878400199405342,0.30169220755682175,0.30475515113509716,50,2,"MSCI EM, Gold",-0.039892821107741436,MSCI EM,Gold,,-0.19038039732978038,-0.029505217896431783,,False,,0.005493727708954843,,,NEUTRAL,0,False,0.015184381778741818,,MSCI EM,-0.19038039732978038,0.19038039732978038,0.0,-0.0,1.0,0.0
2001-07-10,1.5194,1.5171334937493586,1.5171334937493586,-0.1249712399961855,0.08752046828581597,-0.21249170828200148,0.186722407371394,0.15211485023826177,0.301176915918649,0.3042346279756105,50,2,"MSCI EM, Gold",-0.03760542430523408,MSCI EM,Gold,,-0.17587099056076633,-0.032023488941640255,,False,,0.002266506250641509,,,NEUTRAL,0,False,0.013623798867974157,,MSCI EM,-0.17587099056076633,0.17587099056076633,0.0,-0.0,1.0,0.0
2001-07-11,1.526,1.5215308439521933,1.5215308439521933,0.4334412775281016,0.2894267206754156,0.144014556852686,0.18002866439972232,0.14513626714013594,0.30215295887426996,0.30522058025082327,50,2,"MSCI EM, Gold",-0.0387677557762694,MSCI EM,Gold,,-0.17087367811544632,-0.032221925919581555,,False,,0.004469156047806733,,,NEUTRAL,0,False,0.007404980340760314,,MSCI EM,-0.17087367811544632,0.17087367811544632,0.0,0.0,1.0,0.0
2001-07-12,1.529,1.5186700081792586,1.5186700081792586,0.1963994084659914,-0.1882005009858943,0.3845999094518857,0.21023110660252786,0.1766239196494439,0.3017047802827774,0.30476785150621327,50,2,"MSCI EM, Gold",-0.04246235045161133,MSCI EM,Gold,,-0.18800468505401016,-0.028851817834605973,,False,,0.010329991820741347,,,NEUTRAL,0,False,0.0028776978417266452,,MSCI EM,-0.18800468505401016,0.18800468505401016,0.0,0.0,1.0,0.0
2001-07-13,1.5366,1.5195091375549894,1.5195091375549894,0.4958256504472291,0.05523896760638923,0.44058668284083985,0.1949627905518938,0.1607058880221871,0.30540463395158435,0.30850526810422946,50,2,"MSCI EM, Gold",-0.03574190042820062,MSCI EM,Gold,,-0.17454875135304543,-0.034596255751998775,,False,,0.01709086244501057,,,NEUTRAL,0,False,-0.003449173499934788,,MSCI EM,-0.17454875135304543,0.17454875135304543,0.0,0.0,1.0,0.0
2001-07-16,1.5376,1.5215349903960886,1.5215349903960886,0.0650575782493556,0.13323405090763332,-0.06817647265827773,0.19463553970054526,0.16036471160269605,0.31138052451789766,0.31454182916575635,50,2,"MSCI EM, Gold",-0.029439989250840924,MSCI EM,Gold,,-0.1796507627806257,-0.03276482676305757,,False,0.08370317388628387,0.01606500960391144,,,NEUTRAL,0,False,-0.005398022892819987,,MSCI EM,-0.1796507627806257,0.1796507627806257,0.0,0.0,1.0,0.0
