Currency,Model,Observations,Signal_Triggers,Hit_Rate_Pct,Information_Coefficient,Sharpe_Ratio,Maximum_Drawdown_Pct,Strategy_Total_Return_Pct,Average_Adj_R2,Average_Rolling_RMSE,Average_Train_RMSE,Average_Validation_RMSE,Test_RMSE,Generalization_Gap,Best_Params,Best_Validation_RMSE,Best_Alpha,Best_L1_Ratio,Best_Meta_Alpha,Best_N_Estimators,Best_Max_Depth,Best_Learning_Rate,Best_Subsample
CAD,OLS,6424,231,51.94805194805194,-0.056241518046421815,0.038241623593767295,-19.33048236618272,1.7734778828252695,0.3562269052254453,0.39463557192233517,0.39463557192233517,0.40539423621502463,0.42414485407359465,0.029509282151259475,{},0.2192718395127342,,,,,,,
CAD,SGDRegressor,6424,242,52.892561983471076,-0.04631564208115451,0.14110381691218613,-13.308361749753661,10.24245624711886,0.34787909424744384,0.3981222312342327,0.3981222312342327,0.4059857678177923,0.42962645758858053,0.03150422635434785,"{""alpha"": 0.01, ""eta0"": 0.01, ""l1_ratio"": 0.85, ""max_epochs"": 150}",0.2172777392072146,0.01,0.85,,,,,
CAD,RidgeCV,6424,237,54.008438818565395,-0.046260801382348636,0.1232134773352539,-11.988345984468419,8.609250956844683,0.35007939483202366,0.3974418361557079,0.3974418361557079,0.40368819933055466,0.4306300518175631,0.0331882156618552,"{""alpha"": 8.111308307896856}",0.2200729347916555,8.111308307896856,,,,,,
CAD,ElasticNetCV,6424,242,52.066115702479344,-0.0425813465981982,0.21096880938632182,-11.620694620925853,16.733222030417117,0.3433877188234815,0.39940658570548077,0.39940658570548077,0.4037189985027393,0.4331107887047384,0.03370420299925764,"{""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}",0.2173195179846588,0.1873817422860383,0.1,,,,,
CAD,LassoCV,6424,243,55.55555555555556,-0.03800164133322825,0.07910664574377388,-14.179743975004245,5.14625628726475,0.3450596972037511,0.3989781849315523,0.3989781849315523,0.40513923402693686,0.43441445870780776,0.03543627377625547,"{""alpha"": 0.01519911082952933}",0.2189762259329649,0.0151991108295293,,,,,,
CAD,LGBMRegressor,6424,192,46.35416666666667,-0.030972832728887546,-0.2670508083375239,-28.03077276111896,-18.545259800235836,0.41598419939449965,0.37441379326194146,0.37441379326194146,0.4155058872579191,0.45068787302914,0.07627407976719852,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.2270922648090141,,,,200.0,3.0,0.03,0.8
CAD,XGBRegressor,6424,228,50.43859649122807,-0.038681573581544254,0.07489857935857244,-16.879223032889755,4.776342526023591,0.4509133301151564,0.3622408920844666,0.3622408920844666,0.4106283523268322,0.447307186008696,0.08506629392422943,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}",0.2188583247707114,,,,200.0,3.0,0.1,1.0
CAD,StackedEnsemble,6424,234,49.14529914529914,-0.02990560531535439,0.19440839316540365,-22.12972154537579,13.90564727974537,0.5291709352660506,0.337582171979151,0.337582171979151,0.4017047303665387,0.44025285324670316,0.10267068126755213,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}}, ""meta_alpha"": 0.1873817422860383}",0.2164892612904561,,,0.1873817422860383,,,,
