Date,Dynamic_Threshold,Action_Adjustment,Policy_Position,Reward,Policy_Equity_Curve
2001-09-24,1.5,-0.5,0,-0.0,1.0
2001-09-25,2.0,0.0,0,0.0,1.0
2001-09-26,2.5,0.5,0,0.0,1.0
2001-09-27,2.5,0.5,-1,-0.005201722574796008,0.994798277425204
2001-09-28,2.5,0.5,-1,0.006832095063078358,1.0015948338251597
2001-10-01,2.5,0.5,0,-0.0,1.0015948338251597
2001-10-02,2.0,0.0,0,0.0,1.0015948338251597
2001-10-03,2.5,0.5,0,-0.0,1.0015948338251597
2001-10-04,2.5,0.5,0,-0.0,1.0015948338251597
2001-10-05,2.0,0.0,0,-0.0,1.0015948338251597
2001-10-08,2.0,0.0,0,0.0,1.0015948338251597
2001-10-09,2.0,0.0,0,0.0,1.0015948338251597
2001-10-10,2.0,0.0,0,0.0,1.0015948338251597
2001-10-11,2.0,0.0,0,-0.0,1.0015948338251597
2001-10-12,2.0,0.0,0,0.0,1.0015948338251597
2001-10-15,2.0,0.0,0,0.0,1.0015948338251597
2001-10-16,2.0,0.0,0,0.0,1.0015948338251597
2001-10-17,2.0,0.0,0,0.0,1.0015948338251597
2001-10-18,2.0,0.0,0,0.0,1.0015948338251597
2001-10-19,2.0,0.0,0,0.0,1.0015948338251597
2001-10-22,2.0,0.0,0,-0.0,1.0015948338251597
2001-10-23,2.0,0.0,0,-0.0,1.0015948338251597
2001-10-24,2.0,0.0,0,0.0,1.0015948338251597
2001-10-25,2.0,0.0,0,-0.0,1.0015948338251597
2001-10-26,2.0,0.0,0,-0.0,1.0015948338251597
2001-10-29,1.5,-0.5,0,0.0,1.0015948338251597
2001-10-30,2.0,0.0,0,0.0,1.0015948338251597
2001-10-31,2.0,0.0,0,-0.0,1.0015948338251597
2001-11-01,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-02,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-05,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-06,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-07,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-08,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-09,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-12,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-13,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-14,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-15,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-16,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-19,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-20,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-21,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-22,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-23,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-26,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-27,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-28,1.5,-0.5,0,0.0,1.0015948338251597
2001-11-29,1.5,-0.5,0,-0.0,1.0015948338251597
2001-11-30,1.5,-0.5,0,0.0,1.0015948338251597
2001-12-03,1.5,-0.5,0,-0.0,1.0015948338251597
2001-12-04,1.5,-0.5,0,0.0,1.0015948338251597
2001-12-05,1.5,-0.5,0,-0.0,1.0015948338251597
2001-12-06,1.5,-0.5,0,0.0,1.0015948338251597
2001-12-07,1.5,-0.5,0,0.0,1.0015948338251597
2001-12-10,1.5,-0.5,0,-0.0,1.0015948338251597
2001-12-11,2.0,0.0,0,-0.0,1.0015948338251597
2001-12-12,2.0,0.0,0,0.0,1.0015948338251597
2001-12-13,2.0,0.0,0,-0.0,1.0015948338251597
2001-12-14,2.0,0.0,1,-0.0009790792153860917,1.0006141931411234
2001-12-17,2.0,0.0,1,-0.00366106429955404,0.9969508802409874
2001-12-18,1.5,-0.5,0,0.0,0.9969508802409874
2001-12-19,1.5,-0.5,0,0.0,0.9969508802409874
