Currency,Model,Observations,Signal_Triggers,Hit_Rate_Pct,Information_Coefficient,Sharpe_Ratio,Maximum_Drawdown_Pct,Strategy_Total_Return_Pct,Average_Adj_R2,Average_Train_RMSE,Average_Validation_RMSE,Test_RMSE,Generalization_Gap,Best_Params,Best_Validation_RMSE,Best_Alpha,Best_L1_Ratio,Best_N_Estimators,Best_Max_Depth,Best_Learning_Rate,Best_Subsample
NOK,ElasticNetCV,6426,235,46.808510638297875,0.03820281135263949,0.042938773107244074,-23.7264728182469,2.2871371041847777,0.3435583595431137,0.5893288655414844,0.5895808153029504,0.6199579238778515,0.030629058336367088,"{""alpha"": 0.0001, ""l1_ratio"": 0.1}",0.3872425582158786,0.0001,0.1,,,,
NOK,LassoCV,6426,234,45.2991452991453,0.038460482040343066,0.0972264128309492,-19.8361786778422,9.538371632267829,0.34581757484662956,0.5882883288043296,0.5918842381480806,0.6206371259604813,0.03234879715615169,"{""alpha"": 0.0001}",0.3872514340332225,0.0001,,,,,
NOK,OLS,6426,220,45.45454545454545,0.026766883403715525,0.2387827740459267,-12.968918825462728,27.646333828289293,0.3603603537712598,0.5801835616094081,0.6011195122569841,0.612583709498916,0.03240014788950796,{},0.37837880591431194,,,,,,
NOK,RidgeCV,6426,233,44.20600858369099,0.03220615945991674,0.04258330692322506,-18.863413463573252,2.252119808407471,0.35192866973039916,0.5857295724641268,0.5909115269005261,0.6182725550196007,0.03254298255547383,"{""alpha"": 0.0001}",0.3872400330081725,0.0001,,,,,
NOK,LGBMRegressor,6426,233,46.78111587982833,0.007124488022926739,0.11464685047166907,-22.5202022434968,12.256015190791691,0.4211334158362616,0.5498532073730777,0.6079590611582165,0.6469410342205011,0.09708782684742334,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.38801398191197733,,,200.0,3.0,0.1,0.8
NOK,XGBRegressor,6426,222,52.702702702702695,0.009106527132604627,0.0011504294588466511,-33.372300730700935,-3.0265374551651014,0.45981891959242255,0.5284579136537417,0.6040794727051219,0.6428860608633788,0.11442814720963712,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",0.3821427230062489,,,200.0,2.0,0.1,0.8
