Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,9.3473,9.36320438493971,9.36320438493971,-0.6419711940435668,0.1700049174840871,-0.8119761115276539,0.07028074318048338,0.030718221613695418,0.570559745167375,0.5763523783998847,50,2,"Gold, MSCI World - S&P500",0.07908747537035957,Gold,MSCI World - S&P500,,-0.13339059417736346,-0.00606567730212157,,True,,-0.01590438493970936,,,NEUTRAL,0,False,-0.00399045713735513,,Gold,-0.13339059417736346,0.13339059417736346,0.0,0.0,1.0,,0.0
2001-07-04,9.3727,9.367819995627077,9.367819995627077,0.271367687897639,0.049283057744308315,0.2220846301533307,0.062162997065726144,0.02225503949405483,0.5782461579918292,0.584116827872986,50,2,"Gold, MSCI World - S&P500",0.05339860822810309,Gold,MSCI World - S&P500,,-0.12604949452574907,-0.015627727849016407,,False,,0.004880004372923352,,,NEUTRAL,0,False,-0.022842937467325353,,Gold,-0.12604949452574907,0.12604949452574907,0.0,0.0,1.0,,0.0
2001-07-05,9.4267,9.385587192986998,9.385587192986998,0.574487999790696,0.18948239642117604,0.38500560336951994,0.06326727846281754,0.023406311588894835,0.5786327399547215,0.5845073346264795,50,2,"Gold, MSCI World - S&P500",0.05991987892063868,Gold,MSCI World - S&P500,,-0.1277090968951476,-0.029566221726733632,,False,,0.04111280701300224,,,NEUTRAL,0,False,-0.025480815131488144,,Gold,-0.1277090968951476,0.1277090968951476,0.0,0.0,1.0,,0.0
2001-07-06,9.3659,9.389686742147669,9.389686742147669,-0.647065463405827,0.04366966085272081,-0.6907351242585479,0.062333749292706186,0.02243305777324678,0.5677204583540876,0.573484265600729,50,2,"Gold, MSCI World - S&P500",0.08682551110086704,Gold,MSCI World - S&P500,,-0.1241041309432599,-0.0028224725462509545,,False,,-0.02378674214766896,,,NEUTRAL,0,False,-0.018022827491218085,,Gold,-0.1241041309432599,0.1241041309432599,0.0,-0.0,1.0,,0.0
2001-07-09,9.3067,9.393864886887105,9.393864886887105,-0.6340862906305755,0.044487271532674816,-0.6785735621632504,0.06325458300466724,0.02339307589848283,0.5709103438451463,0.5767065365463521,50,2,"Gold, MSCI World - S&P500",0.06266104460969832,Gold,MSCI World - S&P500,,-0.12572910475236207,-0.003924203039501238,,False,,-0.08716488688710555,,,NEUTRAL,0,False,-0.010573028033567189,,Gold,-0.12572910475236207,0.12572910475236207,0.0,-0.0,1.0,,0.0
2001-07-10,9.2921,9.399491588361357,9.399491588361357,-0.1569994085525827,0.059879688333352096,-0.21687909688593482,0.0631325395456025,0.02326583910073443,0.5783795754298388,0.584251599837479,50,2,"Gold, MSCI World - S&P500",0.04662664611206923,Gold,MSCI World - S&P500,,-0.12722611939965925,-0.0012546112836644998,,False,,-0.10739158836135765,,,NEUTRAL,0,False,-0.013646000365902133,,Gold,-0.12722611939965925,0.12722611939965925,0.0,-0.0,1.0,,0.0
2001-07-11,9.2871,9.395736086145973,9.395736086145973,-0.0538236320262175,-0.03996229607217512,-0.013861335954042375,0.06267193519345449,0.022785634563388668,0.5730375144572537,0.5788553033528692,50,2,"Gold, MSCI World - S&P500",0.053156057148203595,Gold,MSCI World - S&P500,,-0.12557113114759672,-0.01985742809242996,,False,,-0.10863608614597275,,,NEUTRAL,0,False,-0.020566161665105387,,Gold,-0.12557113114759672,0.12557113114759672,0.0,-0.0,1.0,,0.0
2001-07-12,9.3397,9.40921363023842,9.40921363023842,0.5647791334797869,0.14334041412872797,0.4214387193510589,0.0629024758159612,0.023025985425150997,0.5729809973883744,0.57879821249193,50,2,"Gold, MSCI World - S&P500",0.054068506955094964,Gold,MSCI World - S&P500,,-0.12543501884526023,-0.01932734018820063,,False,,-0.06951363023842028,,,NEUTRAL,0,False,-0.02494726811353687,,Gold,-0.12543501884526023,0.12543501884526023,0.0,0.0,1.0,,0.0
2001-07-13,9.3233,9.41303282301289,9.41303282301289,-0.1757488530387707,0.04058168971879163,-0.2163305427575623,0.06922264470028194,0.029615097666251367,0.5737111223898409,0.5795357501200026,50,2,"Gold, MSCI World - S&P500",0.05291158404786185,Gold,MSCI World - S&P500,,-0.13057537440774342,-0.05596834839337244,,False,,-0.08973282301288954,,,NEUTRAL,0,False,-0.022610020057275748,,Gold,-0.13057537440774342,0.13057537440774342,0.0,-0.0,1.0,,0.0
2001-07-16,9.3639,9.416260328644649,9.416260328644649,0.434522709455587,0.034281750646430076,0.40024095880915694,0.0710468145603963,0.03151689177573225,0.5715103056144698,0.5773125894542683,50,2,"Gold, MSCI World - S&P500",0.0560889730145879,Gold,MSCI World - S&P500,,-0.1312871956298332,-0.06704188941482485,,False,-0.11819833497966041,-0.052360328644649456,,,NEUTRAL,0,False,-0.023259539294524623,,Gold,-0.1312871956298332,0.1312871956298332,0.0,0.0,1.0,,0.0
