Model,Average_Generalization_Gap,Average_Strategy_Total_Return_Pct
ElasticNetCV,0.03531980965620198,3.4942242752689805
SGDRegressor,0.03619499675060743,1.4944586797762476
OLS,0.036381916223644124,8.645595804078855
RidgeCV,0.03672984241943415,1.4057613723723286
LassoCV,0.03676627314469921,1.4157744447665133
LGBMRegressor,0.08569851875435644,6.813028882097161
XGBRegressor,0.10204197738753204,8.138584012864492
StackedEnsemble,0.1309246639732265,3.8228333935685743
