Final_Rank,Model_Family,Model,Currencies,Average_Information_Coefficient,Average_Hit_Rate_Pct,Average_Sharpe_Ratio,Average_Maximum_Drawdown_Pct,Average_Adj_R2,Average_Rolling_RMSE,Average_Generalization_Gap,Average_Strategy_Total_Return_Pct,IC_Rank,Hit_Rank,Combined_Rank
1,GBM,XGBRegressor,9,-0.012451886758495656,49.558086356930325,0.09280230445911976,-17.398916442031002,0.42963353848548125,0.4659432608820367,0.10204197738753204,8.138584012864492,1.0,5.0,3.0
2,GBM,LGBMRegressor,9,-0.011107898560635045,49.60784005677822,0.05998220781725445,-17.41157139628571,0.3916805599315444,0.48301040106817766,0.08569851875435647,6.813028882097161,2.0,4.0,3.0
3,Baseline,OLS,9,-0.003492489159104622,49.6489227764866,0.08750365983444319,-15.680019377383202,0.33619149803323567,0.5052931346944531,0.036381916223644124,8.645595804078855,4.0,3.0,3.5
4,Regularized,LassoCV,9,-0.0005410831909000447,49.6636835463902,0.01602448816783046,-17.817104195506783,0.3212505628873071,0.51181076577996,0.03676627314469922,1.4157744447665133,7.0,2.0,4.5
5,Regularized,RidgeCV,9,-0.0036397011728963435,49.31684642332347,0.028235148767227873,-16.832470211669833,0.32974338454365487,0.5088885300378985,0.03672984241943415,1.4057613723723286,3.0,7.0,5.0
6,RL,PolicyAgent,9,,50.86359243229187,0.36796284763361764,-9.942316883425036,,,,36.77571005697453,9.0,1.0,5.0
7,Regularized,ElasticNetCV,9,-0.0029533667785717785,49.3391652330782,0.04931159434160895,-16.93956093329302,0.3205660649321602,0.5120402909967,0.03531980965620198,3.494224275268982,5.0,6.0,5.5
8,Regularized,SGDRegressor,9,-0.0016457958316703333,49.051905159459054,0.024947647717234026,-18.021968212408456,0.3284114134957678,0.5094632351499376,0.0361949967506074,1.4944586797762502,6.0,9.0,7.5
9,Stacked,StackedEnsemble,9,0.0019005511524345668,49.05752494950516,0.05882186686642864,-18.59199053429898,0.5099390670509809,0.4349500877569717,0.13092466397322655,3.8228333935685805,8.0,8.0,8.0
