Model,Currencies,Average_Information_Coefficient,Average_Hit_Rate_Pct,Average_Sharpe_Ratio,Average_Maximum_Drawdown_Pct,Average_Generalization_Gap,Average_Strategy_Total_Return_Pct,IC_Rank,Hit_Rank,Combined_Rank
LassoCV,9,-0.0005410831909000447,49.6636835463902,0.01602448816783049,-17.817104195506783,0.03676627314469921,1.4157744447665133,2.0,1.0,1.5
OLS,9,-0.003492489159104622,49.6489227764866,0.08750365983444336,-15.680019377383202,0.036381916223644124,8.645595804078855,5.0,2.0,3.5
StackedEnsemble,9,0.0019005511524345996,49.05752494950516,0.058821866866429526,-18.59199053429898,0.1309246639732265,3.8228333935685743,1.0,7.0,4.0
ElasticNetCV,9,-0.0029533667785717785,49.3391652330782,0.04931159434160892,-16.93956093329302,0.03531980965620198,3.4942242752689805,4.0,5.0,4.5
LGBMRegressor,9,-0.011107898560635045,49.60784005677822,0.059982207817254274,-17.41157139628571,0.08569851875435644,6.813028882097161,7.0,3.0,5.0
SGDRegressor,9,-0.0016457958316703001,49.051905159459054,0.0249476477172343,-18.021968212408453,0.03619499675060743,1.4944586797762476,3.0,8.0,5.5
RidgeCV,9,-0.0036397011728963435,49.31684642332347,0.028235148767227918,-16.832470211669833,0.03672984241943415,1.4057613723723286,6.0,6.0,6.0
XGBRegressor,9,-0.012451886758495656,49.558086356930325,0.09280230445911967,-17.398916442031005,0.10204197738753204,8.138584012864492,8.0,4.0,6.0
