Currency,Model,Observations,Signal_Triggers,Hit_Rate_Pct,Information_Coefficient,Sharpe_Ratio,Maximum_Drawdown_Pct,Strategy_Total_Return_Pct,Average_Adj_R2,Average_Train_RMSE,Average_Validation_RMSE,Test_RMSE,Generalization_Gap,Best_Params,Best_Validation_RMSE,Best_Alpha,Best_L1_Ratio,Best_Meta_Alpha,Best_N_Estimators,Best_Max_Depth,Best_Learning_Rate,Best_Subsample
NZD,ElasticNetCV,6427,203,45.320197044334975,-0.01821099985825782,0.09830168785804083,-19.737319398359134,8.243234490754126,0.2896133202241793,0.6093205158013131,0.6157977833075071,0.6412394455308614,0.03191892972954835,"{""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}",0.4047448583851886,0.1873817422860383,0.1,,,,,
NZD,OLS,6427,214,44.85981308411215,-0.01710470714719797,0.18280441902692018,-10.847268925623199,17.97845853574829,0.30454362526728496,0.6027747047007125,0.6210086531076798,0.6358177637968466,0.03304305909613414,{},0.3971236027293153,,,,,,,
NZD,SGDRegressor,6427,207,47.82608695652174,-0.020510742007360774,0.1480037249924863,-21.980860884841224,14.207464630438826,0.2978254384329551,0.6061347500182952,0.6215543832827636,0.6396875989469895,0.03355284892869426,"{""alpha"": 0.01, ""eta0"": 0.01, ""l1_ratio"": 0.85, ""max_epochs"": 150}",0.41273963624989307,0.01,0.85,,,,,
NZD,LassoCV,6427,211,45.97156398104265,-0.015155879947583056,0.12195010515588905,-21.282604405188987,11.074263494911808,0.28864212376117543,0.6094903818928585,0.6181879961732625,0.6432039602356111,0.03371357834275257,"{""alpha"": 0.05336699231206307}",0.4104157038991681,0.053366992312063,,,,,,
NZD,RidgeCV,6427,213,48.82629107981221,-0.018409122102694842,0.13751645708507731,-17.50261070218858,12.804566028921549,0.2986195722457976,0.6057606661108881,0.6158012882892384,0.639733563716464,0.03397289760557587,"{""alpha"": 28.48035868435799}",0.4033854448593686,28.48035868435799,,,,,,
NZD,LGBMRegressor,6427,220,48.63636363636364,0.002674021580939427,0.22874602921158588,-19.968499930163873,24.646274370677435,0.35433786531036815,0.5789110668479415,0.6291500207548115,0.6705706560807668,0.09165958923282536,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",0.4021897139776452,,,,200.0,2.0,0.1,0.8
NZD,XGBRegressor,6427,218,48.1651376146789,-0.012455605613261537,0.16727979969794754,-21.68239389507425,16.182079205474697,0.3938059480445255,0.560060707280651,0.6250873648828688,0.6707350680902578,0.1106743608096068,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",0.4014122972666495,,,,200.0,2.0,0.03,0.8
NZD,StackedEnsemble,6427,216,50.92592592592593,-0.05292126303157217,0.17956534408109018,-15.18557971536153,16.46179803877206,0.48513982426468993,0.5179209635071842,0.6128456778608924,0.6602892176361429,0.1423682541289587,"{""base_models"": {""elasticnet"": {""alpha"": 0.6579332246575675, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 2.310129700083158}",0.39663165003824596,,,2.310129700083158,,,,
