Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,1.4074,1.40508780385824,1.40508780385824,-0.7221270318367945,-0.1644235867980492,-0.5577034450387452,0.036839112380150696,-0.02597572811679605,0.5159520483792149,0.5211902745371894,50,3,"MSCI World - S&P500, Gold, 2y yield",-0.031415515310557904,MSCI World - S&P500,Gold,2y yield,0.13889925010526077,0.05113185202791659,1.0294032841588847,True,,0.0023121961417600367,,,NEUTRAL,0,False,-0.004405286343612369,,2y yield,1.0294032841588847,1.0294032841588847,0.0,0.0,1.0,,0.0
2001-07-04,1.407,1.4036791827119552,1.4036791827119552,-0.028425241805946,-0.10030175312616063,0.07187651132021464,0.050860599025697395,-0.011039796690017978,0.5203519600683835,0.525634856525808,50,3,"MSCI World - S&P500, Gold, 2y yield",-0.03730830426499904,MSCI World - S&P500,Gold,2y yield,0.16759209449133255,0.057691604412453024,1.2355919719670314,False,,0.003320817288044786,,,NEUTRAL,0,False,0.01030561478322678,,2y yield,1.2355919719670314,1.2355919719670314,0.0,-0.0,1.0,,0.0
2001-07-05,1.4028,1.4018668285064806,1.4018668285064806,-0.2989538848366002,-0.12919798501452992,-0.16975589982207026,0.03981124036262629,-0.0010478557921556053,0.5182013519240044,0.5234624142364287,50,2,"MSCI World - S&P500, Gold",-0.03843935408504228,MSCI World - S&P500,Gold,,0.17645310106650328,0.06224713719792941,,False,,0.0009331714935194579,,,NEUTRAL,0,False,0.018177929854576558,,MSCI World - S&P500,0.17645310106650328,0.17645310106650328,0.0,-0.0,1.0,,0.0
2001-07-06,1.4118,1.402599362327722,1.402599362327722,0.6395246695348689,0.052240518377075225,0.5872841511577936,0.0414352931543579,0.0006453056290113279,0.518735890072672,0.5240023793074654,50,2,"MSCI World - S&P500, Gold",-0.04147442131220045,MSCI World - S&P500,Gold,,0.1786443657822646,0.06477834102825564,,False,,0.009200637672277967,,,NEUTRAL,0,False,0.011262218444539007,,MSCI World - S&P500,0.1786443657822646,0.1786443657822646,0.0,0.0,1.0,,0.0
2001-07-09,1.4085,1.4018981009791869,1.4018981009791869,-0.234017764494443,-0.05000976983045277,-0.18400799466399023,0.04567797436257859,0.005068526463113843,0.524413199987268,0.5297373283639061,50,2,"MSCI World - S&P500, Gold",-0.02512242743544131,MSCI World - S&P500,Gold,,0.19570957933874203,0.06707771095208571,,False,,0.006601899020813207,,,NEUTRAL,0,False,0.008306709265175627,,MSCI World - S&P500,0.19570957933874203,0.19570957933874203,0.0,-0.0,1.0,,0.0
2001-07-10,1.412,1.4040523812304075,1.4040523812304075,0.2481830736760004,0.15355086899480253,0.09463220468119787,0.05016870117752803,0.009750348036146161,0.5223378655322606,0.5276409239833835,50,2,"MSCI World - S&P500, Gold",-0.02020967255085844,MSCI World - S&P500,Gold,,0.21289426234307815,0.06761824051576633,,False,,0.00794761876959238,,,NEUTRAL,0,False,0.006444759206798878,,MSCI World - S&P500,0.21289426234307815,0.21289426234307815,0.0,0.0,1.0,,0.0
2001-07-11,1.4078,1.403627541451555,1.403627541451555,-0.297893687915618,-0.030262693312210216,-0.2676309946034078,0.05449916069354421,0.014265082425184317,0.5217974695671675,0.5270950416241791,50,2,"MSCI World - S&P500, Gold",-0.02171839981425215,MSCI World - S&P500,Gold,,0.22108112834579224,0.0670658272580017,,False,,0.004172458548444835,,,NEUTRAL,0,False,0.014561727518113354,,MSCI World - S&P500,0.22108112834579224,0.22108112834579224,0.0,-0.0,1.0,,0.0
2001-07-12,1.4076,1.4003711811392288,1.4003711811392288,-0.0142075726601131,-0.23226556774243326,0.21805799508232016,0.0542751270511066,0.014031515436260023,0.5231160073388578,0.5284269659093401,50,2,"MSCI World - S&P500, Gold",-0.02617392678551448,MSCI World - S&P500,Gold,,0.22674645908244068,0.06436272641946669,,False,,0.007228818860771202,,,NEUTRAL,0,False,0.014350667803353145,,MSCI World - S&P500,0.22674645908244068,0.22674645908244068,0.0,-0.0,1.0,,0.0
2001-07-13,1.4037,1.3989469295540438,1.3989469295540438,-0.2774518907149803,-0.10175704594912072,-0.17569484476585956,0.09793394037716385,0.03910354518437009,0.5105489445958695,0.5157323155019632,50,3,"MSCI World - S&P500, Gold, 2y yield",-0.03940211236124985,MSCI World - S&P500,Gold,2y yield,0.2538462055843448,0.07279367919960844,1.8139196033636598,False,,0.004753070445956187,,,NEUTRAL,0,False,0.014176818408491831,,2y yield,1.8139196033636598,1.8139196033636598,0.0,-0.0,1.0,,0.0
2001-07-16,1.3995,1.4006141789620945,1.4006141789620945,-0.2996577584772064,0.11910792731655884,-0.4187656857937652,0.10322316987207802,0.04473772442895263,0.5083953152318328,0.5135568213198592,50,3,"MSCI World - S&P500, Gold, 2y yield",-0.0492507540355579,MSCI World - S&P500,Gold,2y yield,0.2689386330753338,0.07261093410223551,1.8248917817554795,False,-0.1714950019846898,-0.0011141789620945364,,,NEUTRAL,0,False,0.019078242229367603,,2y yield,1.8248917817554795,1.8248917817554795,0.0,-0.0,1.0,,0.0
2001-07-17,1.4012,1.3965576441526106,1.3965576441526106,0.1213982367823607,-0.2900456539574746,0.41144389073983534,0.09695174373388449,0.03805729223826815,0.5112464374740102,0.5164368897076241,50,3,"MSCI World - S&P500, Gold, 2y yield",-0.05530125203645636,MSCI World - S&P500,Gold,2y yield,0.2525750843198082,0.07287304563110086,1.8048596193192314,False,-0.06550611239841249,0.004642355847389368,,,NEUTRAL,0,False,0.017128175849272065,,2y yield,1.8048596193192314,1.8048596193192314,0.0,0.0,1.0,,0.0
2001-07-18,1.4215,1.4013120102195464,1.4013120102195464,1.438363976772267,0.33985647870900476,1.098507498063262,0.07247745664766936,0.011986855994256418,0.5066624044676742,0.5118063171019624,50,3,"MSCI World - S&P500, Gold, 2y yield",-0.037108359741397624,MSCI World - S&P500,Gold,2y yield,0.19644505237970275,0.06839415480645733,1.5455462410416185,False,0.14613272586734655,0.020187989780453552,,,NEUTRAL,0,False,0.008723179739711595,,2y yield,1.5455462410416185,1.5455462410416185,0.0,0.0,1.0,,0.0
