Currency,Model,Observations,Signal_Triggers,Hit_Rate_Pct,Information_Coefficient,Sharpe_Ratio,Maximum_Drawdown_Pct,Strategy_Total_Return_Pct,Average_Adj_R2,Average_Rolling_RMSE,Average_Train_RMSE,Average_Validation_RMSE,Test_RMSE,Generalization_Gap,Best_Params,Best_Validation_RMSE,Best_Alpha,Best_L1_Ratio,Best_Meta_Alpha,Best_N_Estimators,Best_Max_Depth,Best_Learning_Rate,Best_Subsample
GBP,ElasticNetCV,6427,224,46.42857142857143,0.006674144236986496,-0.10812488949523746,-17.83510178989587,-10.168756683012303,0.291226509525164,0.45831496133982724,0.45831496133982724,0.4586997353684875,0.48967518751793626,0.03136022617810902,"{""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}",0.272714659855639,0.1873817422860383,0.1,,,,,
GBP,OLS,6427,221,47.05882352941176,-0.00455971715387735,0.0804020839193438,-14.289112127092107,5.97867687108351,0.3092715440785373,0.45144561570833136,0.45144561570833136,0.463606806859153,0.48319276265955774,0.03174714695122638,{},0.279100955253597,,,,,,,
GBP,LassoCV,6427,215,46.97674418604651,0.008349848413250644,-0.16526371503240822,-19.527426655117175,-14.453594021726424,0.29292520278189105,0.4576363617017437,0.4576363617017437,0.46071887681288853,0.4900011584744057,0.03236479677266196,"{""alpha"": 0.05336699231206307}",0.2747255081362932,0.053366992312063,,,,,,
GBP,SGDRegressor,6427,207,48.309178743961354,-0.0008884509705936259,-0.22802943853372662,-25.095214209540863,-19.06304423833689,0.30093413140262554,0.4553991343116941,0.4553991343116941,0.46246092301736497,0.4885507786299771,0.03315164431828299,"{""alpha"": 0.01, ""eta0"": 0.01, ""l1_ratio"": 0.85, ""max_epochs"": 150}",0.2766172955383288,0.01,0.85,,,,,
GBP,RidgeCV,6427,210,49.047619047619044,0.0008801900273019314,-0.17215144646761277,-19.53706475274547,-14.948288726518665,0.30163150517214005,0.45510030138523994,0.45510030138523994,0.4585746593985323,0.48825971677870605,0.03315941539346612,"{""alpha"": 100.0}",0.2720975536476795,100.0,,,,,,
GBP,LGBMRegressor,6427,206,46.601941747572816,-0.016680144933134654,0.07016499024975333,-11.091678509060742,5.0459522821550085,0.36511077053921465,0.43372732292843663,0.43372732292843663,0.4709677308204856,0.5083930581560735,0.07466573522763686,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.2704044707971581,,,,200.0,3.0,0.1,0.8
GBP,XGBRegressor,6427,207,50.24154589371981,-0.022074084452359893,0.037425769311702,-10.851819385152817,1.8177175093876397,0.4017862377434676,0.4190418085514032,0.4190418085514032,0.4676155364882781,0.507907320568712,0.0888655120173088,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",0.2772063307887249,,,,200.0,2.0,0.1,0.8
GBP,StackedEnsemble,6427,218,48.1651376146789,0.012829965917337184,-0.08854726829910857,-17.92732400520498,-8.502466058772363,0.48934969825818403,0.39132554577938505,0.39132554577938505,0.4602410882861147,0.4971018100390918,0.10577626425970676,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 0.6579332246575675}",0.2748808833974298,,,0.6579332246575675,,,,
