Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Strategy_Drawdown
2001-10-09,1.4581,1.478316515318048,1.478316515318048,-1.1116909033373925,-0.15539974423031605,-0.9562911591070764,0.1999130733232457,0.14773349114867473,0.4093501258529783,0.4135060712431538,50,3,"MSCI World - Wilshire, Gold, 5y yield",0.028207502811688434,MSCI World - Wilshire,Gold,5y yield,-0.04521040280055922,0.1578139199800173,1.3892035773402878,False,-0.2403173241866723,-0.020216515318048023,-2.4974848408177146,-2.4974848408177146,BUY,1,True,-0.022152115767094194,False,5y yield,1.3892035773402878,1.3892035773402878,1.0,-0.0,1.0,0.0
2001-10-17,1.447,1.4739688841229084,1.4739688841229084,-0.1381215689198522,0.12201163992077638,-0.26013320884062857,0.24912963324164783,0.20015982671392918,0.4174394964937224,0.42167756957972735,50,3,"MSCI World - Wilshire, Gold, 2y yield",0.021594339408654076,MSCI World - Wilshire,Gold,2y yield,0.021441874873579358,0.20757179572574574,0.3126113607842179,False,-0.12950432765273834,-0.02696888412290832,-2.0059997492637724,-2.0059997492637724,BUY,1,True,0.005183137525915482,True,2y yield,0.3126113607842179,0.3126113607842179,1.0,-0.0,0.9937590014402305,-0.006240998559769451
2001-10-19,1.433,1.4702820254420486,1.4702820254420486,-0.7646891624599639,-0.05762691133386681,-0.7070622511260971,0.24598405266933698,0.19680909958255455,0.4143349228417757,0.41854147660546365,50,3,"MSCI World - Wilshire, Gold, 5y yield",0.003681222894153527,MSCI World - Wilshire,Gold,5y yield,0.005524223932761582,0.18672155969867843,1.2442827741195588,False,-0.2174399360800735,-0.037282025442048505,-2.181757379766566,-2.181757379766566,BUY,1,True,0.02079553384508026,True,5y yield,1.2442827741195588,1.2442827741195588,1.0,-0.0,0.991698685611398,-0.008301314388602044
2002-01-25,1.4082,1.466261795992063,1.466261795992063,-1.2420766598495336,-0.038698815312394205,-1.2033778445371395,0.14503086602702364,0.1086492007515778,0.3759453878055126,0.37976219010440626,50,2,"MSCI World - Wilshire, Gold",-0.009569984973173268,MSCI World - Wilshire,Gold,,0.13869572072723485,0.24273038371384778,,False,-0.25700593994592597,-0.05806179599206307,-2.4242639480345405,-2.4242639480345405,BUY,1,True,0.004828859536997632,True,Gold,0.24273038371384778,0.24273038371384778,1.0,-0.0,0.9888613062596837,-0.011138693740316286
2002-02-05,1.4157,1.4830069702327668,1.4830069702327668,-0.5354010676128174,0.35508619278075276,-0.8904872603935701,0.16307896346273665,0.1274653023334913,0.38425290989826966,0.38815405468532843,50,2,"MSCI World - Wilshire, Gold",0.0032164108199209274,MSCI World - Wilshire,Gold,,0.2842369948569127,0.18927454165934984,,False,-0.2012249502252614,-0.06730697023276688,-2.2825967851232956,-2.2825967851232956,BUY,1,True,0.011089920180829216,True,MSCI World - Wilshire,0.2842369948569127,0.2842369948569127,1.0,-0.0,0.9930746053915954,-0.006925394608404578
2002-03-12,1.4152,1.4109696707939128,1.4109696707939128,-0.3245152759709935,-0.2993686054457136,-0.025146670525279913,0.19000020189406053,0.15553212537891414,0.34173279651603417,0.3452022539576147,50,2,"MSCI World - Wilshire, Gold",-0.04351116282759683,MSCI World - Wilshire,Gold,,0.39172940951567253,-0.04672795443385106,,True,-0.036566376069612265,0.0042303292060872355,2.3132784733841523,2.3132784733841523,SELL,1,True,0.007419446014697462,False,MSCI World - Wilshire,0.39172940951567253,0.39172940951567253,-1.0,-0.0,0.9973535875861906,-0.0026464124138093625
2002-04-01,1.4412,1.4052145476055646,1.4052145476055646,1.0672906585864783,0.07350697599045461,0.9937836825960237,0.2468473060881785,0.21479825528342011,0.294379529610421,0.2973682309000497,50,2,"Gold, MSCI World - Wilshire",-0.007948440948164982,Gold,MSCI World - Wilshire,,-0.06301619015208704,0.37569710574099724,,False,0.23979113906528438,0.0359854523944354,2.2657503204438667,2.2657503204438667,SELL,1,True,-0.002567305023591482,True,MSCI World - Wilshire,0.37569710574099724,0.37569710574099724,-1.0,0.0,0.9903845089879662,-0.00961549101203385
2002-06-04,1.4583,1.4558673755941443,1.4558673755941443,-0.3491121730410162,-0.16695163025043436,-0.18216054279058186,0.3650394252069896,0.3236289529378802,0.2578708968248455,0.26048894259357824,50,3,"Gold, MSCI World - Wilshire, 5y yield",0.01229559941948976,Gold,MSCI World - Wilshire,5y yield,0.03725663725767941,0.38420776999960526,0.9234795921183727,True,-0.09702397406362309,0.0024326244058556767,-2.274813777703738,-2.274813777703738,BUY,1,True,0.0224233696770213,True,5y yield,0.9234795921183727,0.9234795921183727,1.0,-0.0,0.9940953585220593,-0.005904641477940675
2002-06-06,1.4603,1.4551246017437944,1.4551246017437944,0.1027714111900501,0.3677284357502556,-0.26495702456020553,0.34757180613652916,0.30502214131934624,0.26490070457856896,0.26759012078371486,50,3,"MSCI World - Wilshire, Gold, 2y yield",0.022130533398461265,MSCI World - Wilshire,Gold,2y yield,0.374191427857248,0.007525959205517754,0.8253446958029532,False,-0.045729347401914554,0.005175398256205499,-2.0423746154680176,-2.0423746154680176,BUY,1,True,0.026159008422926844,True,2y yield,0.8253446958029532,0.8253446958029532,1.0,0.0,0.9944361990070494,-0.005563800992950618
2002-06-26,1.526,1.4620253760456174,1.4620253760456174,1.1666744070195745,-0.009544185679110723,1.1762185926986852,0.3587713809291062,0.3169521231636131,0.26051966006254007,0.26316459751805177,50,3,"MSCI World - Wilshire, Gold, 5y yield",0.06542809124320029,MSCI World - Wilshire,Gold,5y yield,0.27944007084133543,0.02460305551714924,1.1207557547642597,False,0.33883406700651725,0.06397462395438258,2.9059122843802845,2.9059122843802845,SELL,1,True,0.014678899082568808,False,5y yield,1.1207557547642597,1.1207557547642597,-1.0,0.0,0.9939595124773604,-0.006040487522639637
