Currency,Model,Observations,Signal_Triggers,Hit_Rate_Pct,Information_Coefficient,Sharpe_Ratio,Maximum_Drawdown_Pct,Strategy_Total_Return_Pct,Average_Adj_R2,Average_Rolling_RMSE,Average_Train_RMSE,Average_Validation_RMSE,Test_RMSE,Generalization_Gap,Best_Params,Best_Validation_RMSE,Best_Alpha,Best_L1_Ratio,Best_Meta_Alpha,Best_N_Estimators,Best_Max_Depth,Best_Learning_Rate,Best_Subsample
EUR,ElasticNetCV,6427,237,47.257383966244724,0.028008212057919642,0.009597317513252941,-13.922698233333207,-0.42552344242603457,0.3487093479516387,0.4380744465581134,0.4380744465581134,0.44181472439912073,0.4634831132303514,0.02540866667223801,"{""alpha"": 0.01519911082952933, ""l1_ratio"": 0.5}",0.2576342452314552,0.0151991108295293,0.5,,,,,
EUR,LassoCV,6427,234,50.0,0.02809374550844916,-0.059298588610547,-15.315505626092929,-5.5551634981268805,0.3506749725943282,0.4374736977875785,0.4374736977875785,0.4435509484757152,0.4635059913227436,0.02603229353516512,"{""alpha"": 0.004328761281083057}",0.257834330765417,0.004328761281083,,,,,,
EUR,SGDRegressor,6427,227,49.77973568281938,0.029669330036696626,-0.013753083943238792,-14.993469295591112,-2.3915335938584414,0.3559973035501942,0.43599171136833154,0.43599171136833154,0.44475359426583144,0.46300461211875904,0.027012900750427504,"{""alpha"": 0.01, ""eta0"": 0.01, ""l1_ratio"": 0.85, ""max_epochs"": 150}",0.2571611640715805,0.01,0.85,,,,,
EUR,OLS,6427,255,54.11764705882353,0.038257833053210746,0.15053041042867563,-16.293971102012062,11.297296396525859,0.3609584734367722,0.4341608829264095,0.4341608829264095,0.44655643880722984,0.46120998463148777,0.027049101705078293,{},0.2529450033432106,,,,,,,
EUR,RidgeCV,6427,245,50.204081632653065,0.028123000386015052,0.04749075751826855,-14.352273544000415,2.561258567609892,0.3574745252712597,0.4355530779498387,0.4355530779498387,0.4417566487313821,0.4627981830853572,0.027245105135518477,"{""alpha"": 0.0001}",0.2583184191463369,0.0001,,,,,,
EUR,LGBMRegressor,6427,205,51.707317073170735,0.00476884176891546,0.046346602377575444,-14.450003257002674,2.4504936002043953,0.41966314566174756,0.41169951504562624,0.41169951504562624,0.4509746252847623,0.48210753987424104,0.0704080248286148,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.2607959968421426,,,,200.0,3.0,0.1,0.8
EUR,XGBRegressor,6427,213,43.66197183098591,0.012758874893233067,0.0227960901774587,-16.34552605793863,0.577724493228482,0.45517091761557193,0.3981630871722621,0.3981630871722621,0.44827776975411965,0.4830316221451405,0.08486853497287838,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",0.2593642310663909,,,,200.0,2.0,0.1,0.8
EUR,StackedEnsemble,6427,233,53.21888412017167,0.02087702919046846,0.1486444249990531,-11.423229872140151,11.082201246674718,0.5396512075673623,0.3675523218567329,0.3675523218567329,0.4408971972204171,0.4689773080570707,0.1014249862003378,"{""base_models"": {""elasticnet"": {""alpha"": 0.05336699231206307, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 0.6579332246575675}",0.2531687726365976,,,0.6579332246575675,,,,
