Currency,Variable,ADF p-val (Level),ADF p-val (Diff),Order of Integration,Johansen Trace Stat,95% Crit Value,Is Cointegrated
chf,Copper COMEX,0.770013546,0,I(1),11.11215449,15.4943,No
chf,Copper LME,0.743752221,0,I(1),10.20457353,15.4943,No
chf,VIX,4.81E-08,0,I(0),63.93391325,15.4943,Yes
chf,USTs Volatility,0.008776267,2.47E-30,I(0),43.5306169,15.4943,Yes
chf,G10 FX Volatility,0.002092001,1.37E-26,I(0),32.38586286,15.4943,Yes
eur,EURUSD,0.237666838,0,I(1),,,No
eur,BBDXY,0.674405849,0,I(1),11.89415665,15.4943,No
eur,EMFX,0.706274759,0,I(1),5.999079392,15.4943,No
eur,2y yield,0.47451533,7.61E-28,I(1),10.99088549,15.4943,No
eur,5y yield,0.445439585,0,I(1),13.07700174,15.4943,No
eur,10y yield,0.496775165,0,I(1),12.62792415,15.4943,No
eur,3m1m forward OIS,0.555256908,1.22E-21,I(1),20.49930617,15.4943,Yes
eur,6m1m forward OIS,0.544159683,1.37E-21,I(1),18.93004469,15.4943,Yes
eur,1y1m forward OIS,0.614711306,2.59E-30,I(1),14.744847,15.4943,No
eur,Real 2y yield,0.010438431,3.09E-24,I(0),14.0780403,15.4943,No
eur,Local - S&P500,1,5.08E-29,I(1),13.20721598,15.4943,No
eur,Local - Wilshire,0.99908808,7.45E-29,I(1),12.04337061,15.4943,No
eur,Local - Dow Jones,0.998990236,1.04E-28,I(1),8.928689248,15.4943,No
eur,MSCI World - S&P500,0.999086002,7.44E-26,I(1),10.62428641,15.4943,No
eur,MSCI World - Wilshire,0.99903699,2.89E-27,I(1),11.51649279,15.4943,No
eur,MSCI World - Dow Jones,0.99893378,0,I(1),8.345399634,15.4943,No
eur,MSCI World ex-US,0.93028012,2.27E-26,I(1),5.667420197,15.4943,No
eur,MSCI EM,0.676469029,1.09E-24,I(1),5.718228106,15.4943,No
eur,Local Index,0.970460112,3.71E-27,I(1),5.895984001,15.4943,No
eur,BCOM Index,0.407151686,0,I(1),9.970672478,15.4943,No
eur,Gold,1,0,I(1),29.54465752,15.4943,Yes
eur,Oil,0.117684165,0,I(1),18.45900536,15.4943,Yes
eur,UK Natural Gas,0.002678879,4.28E-27,I(0),34.50012635,15.4943,Yes
eur,TTF Natural Gas,0.016287624,1.82E-23,I(0),25.96204402,15.4943,Yes
eur,NY Natural Gas,0.018814969,0,I(0),18.52590942,15.4943,Yes
eur,Copper COMEX,0.770013546,0,I(1),10.87055474,15.4943,No
eur,Copper LME,0.743752221,0,I(1),5.224780426,15.4943,No
eur,VIX,4.81E-08,0,I(0),63.39245311,15.4943,Yes
eur,USTs Volatility,0.008776267,2.47E-30,I(0),39.7828031,15.4943,Yes
eur,G10 FX Volatility,0.002092001,1.37E-26,I(0),38.82421377,15.4943,Yes
gbp,GBPUSD,0.504074111,0,I(1),,,No
gbp,BBDXY,0.619064254,0,I(1),6.877899967,15.4943,No
gbp,EMFX,0.706274759,0,I(1),4.970579887,15.4943,No
gbp,2y yield,0.412202411,0,I(1),9.272815258,15.4943,No
gbp,5y yield,0.210126501,0,I(1),12.57140466,15.4943,No
gbp,10y yield,0.107862216,0,I(1),15.02425365,15.4943,No
gbp,3m1m forward OIS,0.197499181,6.07E-24,I(1),48.53985897,15.4943,Yes
gbp,6m1m forward OIS,0.05588102,3.96E-27,I(1),58.40708155,15.4943,Yes
gbp,1y1m forward OIS,0.030514916,0,I(0),22.75759048,15.4943,Yes
gbp,Real 2y yield,0.119868446,0,I(1),11.32155784,15.4943,No
gbp,Local - S&P500,0.083143341,5.99E-30,I(1),11.40296477,15.4943,No
gbp,Local - Wilshire,0.999077092,6.20E-30,I(1),9.505565695,15.4943,No
gbp,Local - Dow Jones,0.998963627,3.74E-30,I(1),7.628521487,15.4943,No
gbp,MSCI World - S&P500,0.999086002,7.44E-26,I(1),8.957802397,15.4943,No
gbp,MSCI World - Wilshire,0.99903699,2.89E-27,I(1),9.177969355,15.4943,No
gbp,MSCI World - Dow Jones,0.99893378,0,I(1),7.389204977,15.4943,No
gbp,MSCI World ex-US,0.93028012,2.27E-26,I(1),4.854976702,15.4943,No
gbp,MSCI EM,0.676469029,1.09E-24,I(1),4.821221828,15.4943,No
gbp,Local Index,0.933286989,1.67E-28,I(1),5.435642429,15.4943,No
gbp,BCOM Index,0.407151686,0,I(1),13.60584877,15.4943,No
gbp,Gold,1,0,I(1),26.00739371,15.4943,Yes
gbp,Oil,0.117684165,0,I(1),9.746037322,15.4943,No
gbp,UK Natural Gas,0.002678879,4.28E-27,I(0),36.28459822,15.4943,Yes
gbp,TTF Natural Gas,0.016287624,1.82E-23,I(0),24.72177856,15.4943,Yes
gbp,NY Natural Gas,0.018814969,0,I(0),24.87989092,15.4943,Yes
gbp,Copper COMEX,0.770013546,0,I(1),9.988728307,15.4943,No
gbp,Copper LME,0.743752221,0,I(1),4.26658445,15.4943,No
gbp,VIX,4.81E-08,0,I(0),73.77167619,15.4943,Yes
gbp,USTs Volatility,0.008776267,2.47E-30,I(0),41.15999713,15.4943,Yes
gbp,G10 FX Volatility,0.002092001,1.37E-26,I(0),41.65366858,15.4943,Yes
jpy,USDJPY,0.812846055,0,I(1),,,No
jpy,BBDXY,0.45821977,0,I(1),4.225065702,15.4943,No
jpy,Asia EMFX,0.594493388,0,I(1),7.325808749,15.4943,No
jpy,2y yield,0.120942201,1.90E-24,I(1),10.86380004,15.4943,No
jpy,5y yield,0.073344857,0,I(1),10.93970972,15.4943,No
jpy,10y yield,0.055434367,7.46E-30,I(1),13.04583057,15.4943,No
jpy,Real 2y yield,0.091374662,6.86E-26,I(1),11.1009527,15.4943,No
jpy,Local - S&P500,0.75633133,2.02E-30,I(1),6.288132689,15.4943,No
jpy,Local - Wilshire,0.853384471,4.39E-30,I(1),5.099610592,15.4943,No
jpy,Local - Dow Jones,0.887575824,2.05E-30,I(1),4.492217915,15.4943,No
jpy,MSCI World - S&P500,0.999086002,7.44E-26,I(1),11.81803293,15.4943,No
jpy,MSCI World - Wilshire,0.99903699,2.89E-27,I(1),11.28388138,15.4943,No
jpy,MSCI World - Dow Jones,0.99893378,0,I(1),7.666441907,15.4943,No
