Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,ols,124.4,124.58035093789098,124.58035093789098,0.2253340724899466,0.14487164850936196,0.08046242398058465,0.04208987804156683,0.03433352077874541,0.5921086269854706,0.5921086269854706,0.6238839684764361,0.5932964087749734,250,2,"Oil, MSCI EM",0.04482311929863131,Oil,MSCI EM,,-0.0406629682134113,-0.06610649391970273,,,,,BETA,{},,,,,,,True,True,,-0.180350937890978,,,NEUTRAL,0,False,0.004501607717041667,,MSCI EM,-0.06610649391970273,0.06610649391970273,BETA,0.0,0.0,1.0,,0.0
2001-07-04,ols,124.45,124.61536211228417,124.61536211228417,0.0401848508522206,0.028099339426843374,0.012085511425377227,0.04240612193685833,0.034652325353351054,0.5920862386872529,0.5920862386872529,0.6237030801610146,0.5932739755653801,250,2,"Oil, MSCI EM",0.04470662739975742,Oil,MSCI EM,,-0.040930714519482464,-0.0658643883005907,,,,,BETA,{},,,,,,,True,False,,-0.1653621122841713,,,NEUTRAL,0,False,-0.00449979911611087,,MSCI EM,-0.0658643883005907,0.0658643883005907,BETA,0.0,0.0,1.0,,0.0
2001-07-05,ols,125.68,124.71028956843966,124.71028956843966,0.9834965133764584,0.07614736799240673,0.9073491453840516,0.04237803264947282,0.03462400862234294,0.5920735486142383,0.5920735486142383,0.6250231690317347,0.5932612600358245,250,2,"Oil, MSCI EM",0.044960434142106334,Oil,MSCI EM,,-0.04097242414463429,-0.06617075844804336,,,,,BETA,{},,,,,,,True,False,,0.969710431560344,,,NEUTRAL,0,False,-0.018698281349459056,,MSCI EM,-0.06617075844804336,0.06617075844804336,BETA,0.0,0.0,1.0,,0.0
2001-07-06,ols,125.87,124.71752896354442,124.71752896354442,0.1510634356048257,0.0058048016852491335,0.14525863391957658,0.04416952880138014,0.036430010815966196,0.5929866488791741,0.5929866488791741,0.6269406218473697,0.5941761919982178,250,2,"Oil, MSCI EM",0.05122295327481588,Oil,MSCI EM,,-0.04186411087717192,-0.0682076422005175,,,,,BETA,{},,,,,,,True,False,,1.1524710364555801,,,NEUTRAL,0,False,-0.02296019702868035,,MSCI EM,-0.0682076422005175,0.0682076422005175,BETA,0.0,0.0,1.0,,0.0
2001-07-09,ols,125.33,124.95908318418543,124.95908318418543,-0.4299369679983122,0.19349373089269614,-0.6234306988910083,0.042364779623838444,0.034610648284760126,0.5896957058998555,0.5896957058998555,0.6239556775001418,0.5908786473212325,250,2,"Oil, MSCI EM",0.04765701110342607,Oil,MSCI EM,,-0.03969287470899734,-0.06964730175182883,,,,,BETA,{},,,,,,,True,False,,0.37091681581456726,,,NEUTRAL,0,False,-0.0074204101172903325,,MSCI EM,-0.06964730175182883,0.06964730175182883,BETA,0.0,-0.0,1.0,,0.0
2001-07-10,ols,125.42,125.12013676409794,125.12013676409794,0.0717846491443907,0.12880206697017527,-0.057017417825784567,0.041992100779708164,0.03423495179816727,0.5904688912905562,0.5904688912905562,0.6241343971518889,0.5916533837373451,250,2,"Oil, MSCI EM",0.046577968020428726,Oil,MSCI EM,,-0.03922481887886315,-0.07103765560092111,,,,,BETA,{},,,,,,,True,False,,0.2998632359020661,,,NEUTRAL,0,False,-0.010604369319087814,,MSCI EM,-0.07103765560092111,0.07103765560092111,BETA,0.0,0.0,1.0,,0.0
2001-07-11,ols,124.31,125.32343183754027,125.32343183754027,-0.8889659311250853,0.16234804449506612,-1.0513139756201513,0.04125277311083109,0.03348963767043289,0.5904848671168409,0.5904848671168409,0.6178852666457975,0.5916693916114579,250,2,"Oil, MSCI World ex-US",0.04560639433968492,Oil,MSCI World ex-US,,-0.03831606454078667,-0.07702393015435706,,,,,BETA,{},,,,,,,True,False,,-1.013431837540267,,,NEUTRAL,0,False,-0.0062746359906684646,,MSCI World ex-US,-0.07702393015435706,0.07702393015435706,BETA,0.0,-0.0,1.0,,0.0
2001-07-12,ols,123.89,125.1788418316317,125.1788418316317,-0.3384370675976633,-0.11544008750734394,-0.22299698009031935,0.04054011664667134,0.032771210708587684,0.5935841235955345,0.5935841235955345,0.6205658598158206,0.5947748652608505,250,2,"BCOM Index, MSCI World ex-US",0.04486515369426792,BCOM Index,MSCI World ex-US,,-0.10845568689730055,-0.07024312003282676,,,,,BETA,{},,,,,,,True,False,,-1.2888418316317,,,NEUTRAL,0,False,-0.0010493179433368471,,BCOM Index,-0.10845568689730055,0.10845568689730055,BETA,0.0,-0.0,1.0,,0.0
2001-07-13,ols,124.94,125.38250276800419,125.38250276800419,0.8439546937776932,0.16256376780633122,0.681390925971362,0.028955313190930254,0.02503981042153869,0.5976304583665498,0.5976304583665498,0.6215399010287519,0.5988293170606276,250,1,BCOM Index,0.05285430704342551,BCOM Index,,,-0.1174789792385504,,,,,,BETA,{},,,,,,,True,False,,-0.4425027680041893,,,NEUTRAL,0,False,-0.011285417000160058,,BCOM Index,-0.1174789792385504,0.1174789792385504,BETA,0.0,0.0,1.0,,0.0
2001-07-16,ols,125.46,125.60820858237462,125.60820858237462,0.4153360603172729,0.17985197459815036,0.23548408571912252,0.03067071096509133,0.026762125122208547,0.5987599163129337,0.5987599163129337,0.6244603861184572,0.5999610407223205,250,1,BCOM Index,0.05422465424325152,BCOM Index,,,-0.12096342751344617,,,,,,BETA,{},,,,,,,True,False,0.028214232105438004,-0.14820858237462176,,,NEUTRAL,0,False,-0.0025506137414315067,,BCOM Index,-0.12096342751344617,0.12096342751344617,BETA,0.0,0.0,1.0,,0.0
