Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Strategy_Drawdown
2001-07-03,124.4,124.6605123897943,124.6605123897943,0.2253340724899466,0.20919613655440433,0.016137935935542275,0.044672151386874415,0.004019902509720064,0.611168044658898,0.617372955461185,50,2,"Oil, MSCI EM",0.05201142102327182,Oil,MSCI EM,,-0.014877548874479542,-0.1680729134701295,,True,,-0.26051238979430025,,,NEUTRAL,0,False,0.004501607717041667,,MSCI EM,-0.1680729134701295,0.1680729134701295,0.0,0.0,1.0,0.0
2001-07-04,124.45,124.86397629477905,124.86397629477905,0.0401848508522206,0.16308134816820302,-0.12289649731598243,0.04840301858743434,0.007909530016686817,0.6009332001723727,0.6070342012600254,50,2,"Oil, MSCI EM",0.03724824649690117,Oil,MSCI EM,,-0.010346177417772913,-0.1758411361780574,,False,,-0.4139762947790473,,,NEUTRAL,0,False,-0.00449979911611087,,MSCI EM,-0.1758411361780574,0.1758411361780574,0.0,0.0,1.0,0.0
2001-07-05,125.68,125.02785544802146,125.02785544802146,0.9834965133764584,0.13116009082239627,0.8523364225540622,0.046817870687615115,0.006256929014747614,0.6010722529360335,0.6071746657630642,50,2,"Oil, MSCI EM",0.03627587892101164,Oil,MSCI EM,,-0.011417704579064138,-0.1703934615894048,,False,,0.6521445519785516,,,NEUTRAL,0,False,-0.018698281349459056,,MSCI EM,-0.1703934615894048,0.1703934615894048,0.0,0.0,1.0,0.0
2001-07-06,125.87,125.40139891524286,125.40139891524286,0.1510634356048257,0.29832277000136376,-0.14725933439653804,0.0818238415942536,0.04275251570464733,0.5932047489345581,0.5992272865766991,50,2,"Oil, MSCI EM",0.029046915916513868,Oil,MSCI EM,,-0.023335554132773505,-0.22260653704185815,,False,,0.4686010847571396,,,NEUTRAL,0,False,-0.02296019702868035,,MSCI EM,-0.22260653704185815,0.22260653704185815,0.0,0.0,1.0,0.0
2001-07-09,125.33,125.69754527422018,125.69754527422018,-0.4299369679983122,0.23588031980402666,-0.6658172878023388,0.09314636269500776,0.05455684621394419,0.5834802141497324,0.589404023019221,50,2,"Oil, MSCI EM",0.010308438110381322,Oil,MSCI EM,,-0.02948525747316992,-0.2258417057463898,,False,,-0.367545274220177,,,NEUTRAL,0,False,-0.0074204101172903325,,MSCI EM,-0.2258417057463898,0.2258417057463898,0.0,-0.0,1.0,0.0
2001-07-10,125.42,125.90536148984727,125.90536148984727,0.0717846491443907,0.16519384895747902,-0.09340919981308832,0.07257010672037878,0.03310500487869272,0.590201291780756,0.5961933366903325,50,2,"Oil, MSCI EM",0.002892808433398973,Oil,MSCI EM,,-0.021647259100676407,-0.2084212717390842,,False,,-0.48536148984726424,,,NEUTRAL,0,False,-0.010604369319087814,,MSCI EM,-0.2084212717390842,0.2084212717390842,0.0,0.0,1.0,0.0
2001-07-11,124.31,126.10957154700569,126.10957154700569,-0.8889659311250853,0.16206190592954556,-1.0510278370546309,0.051089236211016464,0.010710054773187316,0.5710144391530402,0.5768116886864971,50,2,"Oil, MSCI World ex-US",0.011292426810317016,Oil,MSCI World ex-US,,-0.019152162393400635,-0.16635907993052368,,False,,-1.7995715470056837,,,NEUTRAL,0,False,-0.0062746359906684646,,MSCI World ex-US,-0.16635907993052368,0.16635907993052368,0.0,-0.0,1.0,0.0
2001-07-12,123.89,125.92501384777846,125.92501384777846,-0.3384370675976633,-0.14645429072845112,-0.19198277686921217,0.0369926715902229,-0.003986363661256931,0.5858396463412427,0.5917874094511737,50,2,"BCOM Index, MSCI World ex-US",0.004172954462072213,BCOM Index,MSCI World ex-US,,-0.040570958453324375,-0.14884595106294946,,False,,-2.0350138477784583,,,NEUTRAL,0,False,-0.0010493179433368471,,MSCI World ex-US,-0.14884595106294946,0.14884595106294946,0.0,-0.0,1.0,0.0
2001-07-13,124.94,126.0368942202424,126.0368942202424,0.8439546937776932,0.08880737622199536,0.7551473175556978,0.0036310424719968593,-0.01712664414316989,0.5981401811793966,0.6042128260172879,50,1,BCOM Index,0.03654960879133992,BCOM Index,,,-0.05595861225046428,,,False,,-1.0968942202424046,,,NEUTRAL,0,False,-0.011285417000160058,,BCOM Index,-0.05595861225046428,0.05595861225046428,0.0,0.0,1.0,0.0
2001-07-16,125.46,126.21111184286397,126.21111184286397,0.4153360603172729,0.13813203366153703,0.27720402665573585,0.00839969441053856,-0.01225864528924192,0.6070425606803144,0.6132055873227094,50,1,BCOM Index,0.0496992229109354,BCOM Index,,,-0.08514975773439372,,,False,0.01087735901439714,-0.7511118428639776,,,NEUTRAL,0,False,-0.0025506137414315067,,BCOM Index,-0.08514975773439372,0.08514975773439372,0.0,0.0,1.0,0.0
