Date,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Beta_Driver,Largest_Beta,Largest_Beta_Abs,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Strategy_Drawdown
2001-09-27,119.74,116.88493818448731,116.88493818448731,1.7013802131933708,-0.04236590621727082,1.7437461194106416,0.10775266698184582,0.08916418087730105,0.612518865657157,0.6187374907298109,50,1,Oil,-0.1097660336775917,Oil,,,-0.07348167139929576,,,False,0.3089945790058491,2.855061815512684,2.58290468318092,2.58290468318092,SELL,1,True,0.014030399198262877,False,Oil,-0.07348167139929576,0.07348167139929576,-1.0,0.0,1.0,0.0
2001-10-11,121.42,116.69655026244165,116.69655026244165,0.8685277310644501,0.25869046050127,0.6098372705631802,0.15541647106531897,0.13782098087917982,0.601899545269728,0.6080103572190343,50,1,Gold,-0.04011775907320589,Gold,,,-0.23493479558752278,,,False,0.23170202012846028,4.723449737558354,2.0492212093145206,2.0492212093145206,SELL,1,True,0.011942019436666174,False,Gold,-0.23493479558752278,0.23493479558752278,-1.0,0.0,0.9987439383834351,-0.0027551769343517885
2001-12-17,127.55,119.33693888529496,119.33693888529496,0.1961939024459624,0.11152275985335112,0.08467114259261128,0.021805418316790837,0.001426364531724067,0.4135219378409016,0.41772023773814787,50,1,Gold,0.10111407360529613,Gold,,,-0.09655790341088923,,,False,0.24791987485041042,8.213061114705042,2.4723230913011265,2.4723230913011265,SELL,1,True,0.03222265778126232,False,Gold,-0.09655790341088923,0.09655790341088923,-1.0,0.0,1.0012115975953855,-0.00029122168052475583
2001-12-18,127.85,127.90895957719285,127.90895957719285,0.2349257149375283,0.046105581860935343,0.18882013307659296,0.01745701212134143,-0.003012633459463787,0.4047352792734401,0.40884437222811515,50,1,Gold,0.11586016444803125,Gold,,,-0.0847058470386481,,,True,0.23717446725517086,-0.0589595771928515,-3.3132300767462954,-3.3132300767462954,BUY,1,True,0.029722330856472468,True,Gold,-0.0847058470386481,0.0847058470386481,1.0,-0.0023520188161505473,0.998856729078893,-0.0026425555378030152
2002-01-15,131.14,132.10700238743726,132.10700238743726,-0.6915183907667988,0.1557364157474956,-0.8472548065142944,0.005734747319178446,-0.014979112111672022,0.4444012995230685,0.4489131035155368,50,1,Gold,0.16155121909177678,Gold,,,0.05520186131078566,,,False,-0.27425907228831015,-0.967002387437276,-2.1183596047495383,-2.1183596047495383,BUY,1,True,0.017691017233491202,True,Gold,0.05520186131078566,0.05520186131078566,1.0,-0.0,1.0152634489151515,0.0
2002-02-04,132.35,135.45267529056278,135.45267529056278,-0.5425376882540967,0.11394973963257059,-0.6564874278866673,0.000619004860317296,-0.0202014325384261,0.517749621849972,0.523006097952694,50,1,Gold,0.13957399916791663,Gold,,,-0.020223588524936303,,,False,-0.33261785058851573,-3.102675290562786,-2.0280679655303215,-2.0280679655303215,BUY,1,True,0.002720060445787764,True,Gold,-0.020223588524936303,0.020223588524936303,1.0,-0.0,1.0224633498415745,0.0
2002-03-06,130.67,137.88371856740062,137.88371856740062,-1.194339251171428,-0.07745923582006572,-1.1168800153513623,0.013647845021077298,-0.007794593130638461,0.5883865536152659,0.5946130397481655,48,1,FN1 Comdty,-0.32453443551516403,FN1 Comdty,,,0.016148705862424725,,,False,-0.3857072998439397,-7.213718567400633,-2.119034976115543,-2.119034976115543,BUY,1,True,0.010714012397643025,True,FN1 Comdty,0.016148705862424725,0.016148705862424725,1.0,-0.0,1.0346695613470502,0.0
2002-06-04,124.14,124.16447249203061,124.16447249203061,0.4521241352672511,0.01971168047376104,0.43241245479349005,0.268325482254934,0.22060757892373406,0.43650525388354916,0.44093689292087596,50,3,"MSCI World - Wilshire, Asia EMFX, Gold",-0.028505799121284786,MSCI World - Wilshire,Asia EMFX,Gold,-0.49758105635596445,1.7819848826733455,-0.03393671782955754,True,0.16547554046486507,-0.024472492030611193,-2.8629116828411156,-2.8629116828411156,BUY,1,True,0.0016110842597067965,True,Asia EMFX,1.7819848826733455,1.7819848826733455,1.0,0.0,1.0217629157130432,-0.012474171577255722
2002-06-13,124.9,124.97530667223376,124.97530667223376,-0.6384698464669825,0.05621980441346541,-0.6946896508804479,0.2812387390930764,0.23109260461119807,0.44770696007944283,0.4525471759906715,47,3,"MSCI World - Wilshire, Asia EMFX, FN1 Comdty",1.8144603309832337,MSCI World - Wilshire,Asia EMFX,FN1 Comdty,-0.5321160663178215,1.6513211324805286,-0.1535096175449009,False,0.03974826109487481,-0.07530667223375076,-2.1787751687753105,-2.1787751687753105,BUY,1,True,-0.042113690952762295,False,Asia EMFX,1.6513211324805286,1.6513211324805286,1.0,-0.0,1.0314751780019218,-0.003087346399723634
2002-06-26,120.05,123.11183591748527,123.11183591748527,-1.0605783396519186,-0.04699447821368985,-1.0135838614382289,0.24920710180005234,0.1968262019256375,0.5034549906988105,0.5088979055378727,47,3,"MSCI World - Wilshire, Asia EMFX, FN1 Comdty",0.5353949853214784,MSCI World - Wilshire,Asia EMFX,FN1 Comdty,-0.5259034598781048,1.3089581494832923,-0.05133413684785493,False,-0.20261909175618759,-3.0618359174852685,-2.078903463933705,-2.078903463933705,BUY,1,True,-0.019908371511870082,False,Asia EMFX,1.3089581494832923,1.3089581494832923,1.0,-0.0,1.0019926609045091,-0.03158196748341435
