Date,Dynamic_Threshold,Action_Adjustment,Policy_Position,Reward,Policy_Equity_Curve
2001-09-24,1.5,-0.5,1,0.00162634681845919,1.0016263468184592
2001-09-25,2.0,0.0,0,-0.0,1.0016263468184592
2001-09-26,2.5,0.5,0,-0.0,1.0016263468184592
2001-09-27,2.5,0.5,0,0.0,1.0016263468184592
2001-09-28,2.5,0.5,0,0.0,1.0016263468184592
2001-10-01,2.0,0.0,0,-0.0,1.0016263468184592
2001-10-02,2.0,0.0,0,0.0,1.0016263468184592
2001-10-03,2.0,0.0,0,0.0,1.0016263468184592
2001-10-04,2.0,0.0,0,0.0,1.0016263468184592
2001-10-05,2.0,0.0,0,0.0,1.0016263468184592
2001-10-08,2.0,0.0,0,-0.0,1.0016263468184592
2001-10-09,2.0,0.0,0,0.0,1.0016263468184592
2001-10-10,2.0,0.0,0,-0.0,1.0016263468184592
2001-10-11,2.0,0.0,0,0.0,1.0016263468184592
2001-10-12,2.5,0.5,0,0.0,1.0016263468184592
2001-10-15,1.5,-0.5,-1,0.009879891514916639,1.011522306463508
2001-10-16,2.5,0.5,0,-0.0,1.011522306463508
2001-10-17,2.0,0.0,0,-0.0,1.011522306463508
2001-10-18,2.0,0.0,0,0.0,1.011522306463508
2001-10-19,2.0,0.0,0,0.0,1.011522306463508
2001-10-22,2.0,0.0,0,-0.0,1.011522306463508
2001-10-23,2.0,0.0,0,0.0,1.011522306463508
2001-10-24,2.0,0.0,0,-0.0,1.011522306463508
2001-10-25,2.0,0.0,0,-0.0,1.011522306463508
2001-10-26,2.0,0.0,0,0.0,1.011522306463508
2001-10-29,2.0,0.0,0,-0.0,1.011522306463508
2001-10-30,2.0,0.0,0,-0.0,1.011522306463508
2001-10-31,2.5,0.5,0,0.0,1.011522306463508
2001-11-01,2.0,0.0,0,-0.0,1.011522306463508
2001-11-02,2.0,0.0,0,0.0,1.011522306463508
2001-11-05,2.0,0.0,0,0.0,1.011522306463508
2001-11-06,2.0,0.0,0,0.0,1.011522306463508
2001-11-07,2.0,0.0,0,-0.0,1.011522306463508
2001-11-08,2.0,0.0,0,-0.0,1.011522306463508
2001-11-09,2.0,0.0,0,0.0,1.011522306463508
2001-11-12,2.0,0.0,0,0.0,1.011522306463508
2001-11-13,2.0,0.0,0,-0.0,1.011522306463508
2001-11-14,1.5,-0.5,0,-0.0,1.011522306463508
2001-11-15,2.0,0.0,0,0.0,1.011522306463508
2001-11-16,2.0,0.0,0,-0.0,1.011522306463508
2001-11-19,2.0,0.0,0,-0.0,1.011522306463508
2001-11-20,2.0,0.0,0,-0.0,1.011522306463508
2001-11-21,2.0,0.0,0,0.0,1.011522306463508
2001-11-22,1.5,-0.5,0,0.0,1.011522306463508
2001-11-23,2.0,0.0,0,-0.0,1.011522306463508
2001-11-26,2.0,0.0,0,0.0,1.011522306463508
2001-11-27,2.0,0.0,0,-0.0,1.011522306463508
2001-11-28,2.0,0.0,0,-0.0,1.011522306463508
2001-11-29,2.0,0.0,0,0.0,1.011522306463508
2001-11-30,2.0,0.0,0,-0.0,1.011522306463508
2001-12-03,2.5,0.5,0,-0.0,1.011522306463508
2001-12-04,1.5,-0.5,0,0.0,1.011522306463508
2001-12-05,1.5,-0.5,0,0.0,1.011522306463508
2001-12-06,1.5,-0.5,0,-0.0,1.011522306463508
2001-12-07,1.5,-0.5,0,0.0,1.011522306463508
2001-12-10,2.5,0.5,0,0.0,1.011522306463508
2001-12-11,2.5,0.5,0,0.0,1.011522306463508
2001-12-12,2.5,0.5,0,-0.0,1.011522306463508
2001-12-13,2.5,0.5,0,0.0,1.011522306463508
2001-12-14,2.5,0.5,0,-0.0,1.011522306463508
2001-12-17,2.5,0.5,0,-0.0,1.011522306463508
2001-12-18,2.0,0.0,0,-0.0,1.011522306463508
2001-12-19,2.5,0.5,0,-0.0,1.011522306463508
2001-12-20,2.5,0.5,0,0.0,1.011522306463508
2001-12-21,2.5,0.5,0,-0.0,1.011522306463508
2001-12-24,2.5,0.5,0,-0.0,1.011522306463508
2001-12-25,1.5,-0.5,1,-0.0029510131811920637,1.0085372908040644
2001-12-26,1.5,-0.5,1,0.0015785319652723562,1.0101292991557678
2001-12-27,2.5,0.5,0,0.0,1.0101292991557678
2001-12-28,2.0,0.0,0,-0.0,1.0101292991557678
2001-12-31,2.5,0.5,0,0.0,1.0101292991557678
2002-01-01,2.0,0.0,0,0.0,1.0101292991557678
2002-01-02,2.0,0.0,0,0.0,1.0101292991557678
2002-01-03,2.0,0.0,0,0.0,1.0101292991557678
2002-01-04,2.0,0.0,0,-0.0,1.0101292991557678
2002-01-07,2.0,0.0,0,0.0,1.0101292991557678
2002-01-08,1.5,-0.5,0,0.0,1.0101292991557678
2002-01-09,1.5,-0.5,0,-0.0,1.0101292991557678
2002-01-10,1.5,-0.5,0,-0.0,1.0101292991557678
2002-01-11,2.0,0.0,0,-0.0,1.0101292991557678
2002-01-14,2.0,0.0,0,-0.0,1.0101292991557678
2002-01-15,2.0,0.0,0,-0.0,1.0101292991557678
2002-01-16,2.0,0.0,0,-0.0,1.0101292991557678
2002-01-17,2.0,0.0,0,0.0,1.0101292991557678
2002-01-18,2.5,0.5,0,0.0,1.0101292991557678
2002-01-21,1.5,-0.5,0,0.0,1.0101292991557678
2002-01-22,1.5,-0.5,0,-0.0,1.0101292991557678
2002-01-23,1.5,-0.5,0,0.0,1.0101292991557678
2002-01-24,1.5,-0.5,0,-0.0,1.0101292991557678
2002-01-25,1.5,-0.5,0,-0.0,1.0101292991557678
2002-01-28,1.5,-0.5,0,-0.0,1.0101292991557678
2002-01-29,2.0,0.0,0,-0.0,1.0101292991557678
2002-01-30,2.0,0.0,0,0.0,1.0101292991557678
2002-01-31,2.0,0.0,0,0.0,1.0101292991557678
2002-02-01,2.0,0.0,0,0.0,1.0101292991557678
2002-02-04,1.5,-0.5,0,-0.0,1.0101292991557678
2002-02-05,2.5,0.5,0,-0.0,1.0101292991557678
2002-02-06,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-07,2.5,0.5,0,0.0,1.0101292991557678
2002-02-08,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-11,1.5,-0.5,0,-0.0,1.0101292991557678
2002-02-12,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-13,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-14,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-15,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-18,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-19,1.5,-0.5,0,-0.0,1.0101292991557678
2002-02-20,1.5,-0.5,0,-0.0,1.0101292991557678
2002-02-21,1.5,-0.5,0,-0.0,1.0101292991557678
2002-02-22,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-25,1.5,-0.5,0,-0.0,1.0101292991557678
2002-02-26,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-27,1.5,-0.5,0,0.0,1.0101292991557678
2002-02-28,1.5,-0.5,0,0.0,1.0101292991557678
2002-03-01,1.5,-0.5,0,0.0,1.0101292991557678
2002-03-04,1.5,-0.5,0,0.0,1.0101292991557678
2002-03-05,1.5,-0.5,0,0.0,1.0101292991557678
2002-03-06,1.5,-0.5,0,0.0,1.0101292991557678
2002-03-07,2.0,0.0,0,-0.0,1.0101292991557678
2002-03-08,2.0,0.0,0,-0.0,1.0101292991557678
2002-03-11,2.0,0.0,0,-0.0,1.0101292991557678
2002-03-12,1.5,-0.5,0,-0.0,1.0101292991557678
2002-03-13,1.5,-0.5,0,0.0,1.0101292991557678
2002-03-14,2.0,0.0,0,0.0,1.0101292991557678
2002-03-15,2.0,0.0,0,-0.0,1.0101292991557678
2002-03-18,2.0,0.0,0,-0.0,1.0101292991557678
2002-03-19,2.0,0.0,0,0.0,1.0101292991557678
2002-03-20,2.0,0.0,-1,0.0003771450122571629,1.010510264382679
2002-03-21,2.0,0.0,-1,-0.0009432182607054251,1.0095571326486832
2002-03-22,2.0,0.0,-1,0.0013192612137201687,1.010889002216821
2002-03-25,2.0,0.0,0,-0.0,1.010889002216821
2002-03-26,2.0,0.0,0,0.0,1.010889002216821
2002-03-27,2.0,0.0,0,0.0,1.010889002216821
2002-03-28,2.0,0.0,-1,0.0014992503748124664,1.0124045779322883
2002-03-29,2.0,0.0,-1,-0.0024399399399399613,1.0099343715672133
2002-04-01,2.0,0.0,-1,-0.001123385133869892,1.0087998263080105
2002-04-02,2.0,0.0,-1,0.005236581260519735,1.0140824885740705
2002-04-03,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-04,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-05,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-08,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-09,2.0,0.0,0,0.0,1.0140824885740705
2002-04-10,2.0,0.0,0,0.0,1.0140824885740705
2002-04-11,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-12,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-15,1.5,-0.5,0,0.0,1.0140824885740705
2002-04-16,1.5,-0.5,0,0.0,1.0140824885740705
2002-04-17,2.0,0.0,0,0.0,1.0140824885740705
2002-04-18,2.0,0.0,0,0.0,1.0140824885740705
2002-04-19,2.0,0.0,0,0.0,1.0140824885740705
2002-04-22,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-23,1.5,-0.5,0,0.0,1.0140824885740705
2002-04-24,2.0,0.0,0,0.0,1.0140824885740705
2002-04-25,2.0,0.0,0,0.0,1.0140824885740705
2002-04-26,2.0,0.0,0,-0.0,1.0140824885740705
2002-04-29,1.5,-0.5,0,-0.0,1.0140824885740705
2002-04-30,1.5,-0.5,0,0.0,1.0140824885740705
2002-05-01,1.5,-0.5,0,-0.0,1.0140824885740705
2002-05-02,2.5,0.5,0,0.0,1.0140824885740705
2002-05-03,2.5,0.5,0,0.0,1.0140824885740705
2002-05-06,2.5,0.5,0,-0.0,1.0140824885740705
2002-05-07,2.5,0.5,0,0.0,1.0140824885740705
2002-05-08,1.5,-0.5,0,0.0,1.0140824885740705
2002-05-09,2.5,0.5,0,0.0,1.0140824885740705
2002-05-10,2.5,0.5,0,0.0,1.0140824885740705
2002-05-13,2.0,0.0,0,0.0,1.0140824885740705
2002-05-14,2.0,0.0,0,0.0,1.0140824885740705
2002-05-15,1.5,-0.5,0,0.0,1.0140824885740705
2002-05-16,1.5,-0.5,0,0.0,1.0140824885740705
2002-05-17,1.5,-0.5,0,0.0,1.0140824885740705
2002-05-20,2.0,0.0,0,0.0,1.0140824885740705
2002-05-21,2.0,0.0,0,0.0,1.0140824885740705
2002-05-22,2.0,0.0,0,-0.0,1.0140824885740705
2002-05-23,1.5,-0.5,0,0.0,1.0140824885740705
2002-05-24,2.0,0.0,0,0.0,1.0140824885740705
2002-05-27,2.0,0.0,0,0.0,1.0140824885740705
2002-05-28,2.0,0.0,-1,-0.0033825885704112935,1.0106522647387655
2002-05-29,2.0,0.0,-1,-0.0,1.0106522647387655
2002-05-30,1.5,-0.5,-1,-0.006742370475514514,1.003838072747979
2002-05-31,2.0,0.0,-1,-0.0070497003877334485,0.9967613150973059
2002-06-03,1.5,-0.5,-1,-0.0022751137556877854,0.9944935697181906
2002-06-04,2.0,0.0,1,0.0015715034049239573,0.9960564197491777
2002-06-05,2.0,0.0,1,0.002963737796373822,0.9990084698077091
2002-06-06,2.0,0.0,1,-0.006605249435077343,0.9924097696768742
2002-06-07,2.5,0.5,0,-0.0,0.9924097696768742
2002-06-10,2.0,0.0,1,0.0010531858873092936,0.9934549616407258
2002-06-11,2.0,0.0,1,-0.0017534630896020031,0.9917129750343068
2002-06-12,2.0,0.0,1,-0.00404004918320755,0.9877064058395431
2002-06-13,2.5,0.5,1,-0.011640211640211562,0.9762092942371781
2002-06-14,1.5,-0.5,1,-0.0035688793718772205,0.9727253210243402
2002-06-17,1.5,-0.5,1,0.012893982808022786,0.9852676245905565
2002-06-18,2.5,0.5,0,0.0,0.9852676245905565
2002-06-19,1.5,-0.5,1,0.011669024045261711,0.9967647361929216
2002-06-20,2.0,0.0,0,0.0,0.9967647361929216
2002-06-21,2.0,0.0,0,-0.0,0.9967647361929216
2002-06-24,2.0,0.0,0,0.0,0.9967647361929216
2002-06-25,2.0,0.0,0,-0.0,0.9967647361929216
2002-06-26,1.5,-0.5,1,0.008034279592929794,1.0047730227718685
2002-06-27,2.0,0.0,0,-0.0,1.0047730227718685
2002-06-28,1.5,-0.5,1,-0.00141995030173947,1.0033462950150038
2002-07-01,1.5,-0.5,1,0.0030216850337718704,1.0063780914983411
2002-07-02,2.0,0.0,0,-0.0,1.0063780914983411
2002-07-03,1.5,-0.5,1,-0.007318814709032506,0.999012596719435
2002-07-04,2.5,0.5,0,0.0,0.999012596719435
2002-07-05,2.5,0.5,0,0.0,0.999012596719435
2002-07-08,2.0,0.0,0,0.0,0.999012596719435
2002-07-09,2.0,0.0,0,-0.0,0.999012596719435
2002-07-10,2.0,0.0,0,-0.0,0.999012596719435
2002-07-11,1.5,-0.5,1,0.0032315978456012306,1.002241003674722
2002-07-12,2.0,0.0,0,0.0,1.002241003674722
2002-07-15,2.0,0.0,0,-0.0,1.002241003674722
