Currency,Model,Observations,Signal_Triggers,Hit_Rate_Pct,Information_Coefficient,Sharpe_Ratio,Maximum_Drawdown_Pct,Strategy_Total_Return_Pct,Average_Adj_R2,Average_Train_RMSE,Average_Validation_RMSE,Test_RMSE,Generalization_Gap,Best_Params,Best_Validation_RMSE,Best_Alpha,Best_L1_Ratio,Best_Meta_Alpha,Best_N_Estimators,Best_Max_Depth,Best_Learning_Rate,Best_Subsample
CHF,ElasticNetCV,6171,204,51.9607843137255,-0.025049404846087277,0.06331814667803212,-12.739525502243831,4.096849338332631,0.2596576030858689,0.5091328529874155,0.506223650155396,0.5632051290593838,0.054072276071968295,"{""alpha"": 0.6579332246575675, ""l1_ratio"": 0.1}",0.2885904459293081,0.6579332246575675,0.1,,,,,
CHF,SGDRegressor,6171,194,51.03092783505154,-0.0197446989088428,0.11335941572633994,-13.330794378566047,8.848392210034772,0.27054203566028373,0.5057718093869487,0.511862200659012,0.5614082282809683,0.0556364188940196,"{""alpha"": 0.01, ""eta0"": 0.01, ""l1_ratio"": 0.85, ""max_epochs"": 150}",0.29435818898312593,0.01,0.85,,,,,
CHF,RidgeCV,6171,199,50.25125628140703,-0.024212381319402187,0.05484711046990344,-14.766404648711617,3.280826540122206,0.27164010146962175,0.5053386547848439,0.5064998850280155,0.5617601547114055,0.05642149992656165,"{""alpha"": 100.0}",0.287743075871272,100.0,,,,,,
CHF,LassoCV,6171,193,50.259067357512954,-0.02698070267382724,-0.014573282576008534,-14.35994385305298,-2.9659502635355772,0.2590883249817396,0.5093123279094753,0.5091066966829066,0.5658906646130588,0.056578336703583476,"{""alpha"": 0.05336699231206307}",0.2927630101784637,0.053366992312063,,,,,,
CHF,OLS,6171,185,52.43243243243243,-0.022394583553283734,-0.05072366316153845,-19.55023447357541,-5.822602303947777,0.2826410972191158,0.497742099954103,0.5146537699899346,0.5613326368164097,0.06359053686230665,{},0.2723928929780677,,,,,,,
CHF,LGBMRegressor,6171,170,51.76470588235295,-0.022083035131389622,-0.07442483100215597,-17.514576336690414,-8.341938546184203,0.329655515337828,0.4842548768499039,0.512606519304102,0.580514214055162,0.09625933720525809,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400, ""subsample"": 0.8}",0.2815982943349187,,,,400.0,2.0,0.03,0.8
CHF,XGBRegressor,6171,159,49.056603773584904,-0.03811912540181172,0.023880679452807998,-14.4928512013213,0.33000041560167226,0.38080984335761536,0.46059997757744775,0.5103690505758289,0.5823846562692717,0.12178467869182397,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.2788906367732984,,,,200.0,3.0,0.1,0.8
CHF,StackedEnsemble,6171,181,53.03867403314917,-0.03971060095030582,-0.055570447975658535,-21.365467106873325,-7.804830399332818,0.4907578867080207,0.41844129005549385,0.5096435407620503,0.6301377785293425,0.21169648847384864,"{""base_models"": {""elasticnet"": {""alpha"": 0.1873817422860383, ""l1_ratio"": 0.1}, ""lgbm"": {""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 400, ""subsample"": 0.8}, ""xgb"": {""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}}, ""meta_alpha"": 0.6579332246575675}",0.2785172200338876,,,0.6579332246575675,,,,
