Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2001-07-03,ols,1.797,1.8009849630047114,1.8009849630047114,-0.183470988001777,0.22151091097414782,-0.40498189897592485,0.1277133054336147,0.12065025527518236,0.6240438889897455,0.6240438889897455,0.6253735840618898,0.6252957335557776,250,2,"MSCI World - S&P500, Gold",0.023568785765923757,MSCI World - S&P500,Gold,,-0.2881576129084899,-0.18601203449106996,,,,,BETA,{},,,,,,,True,True,,-0.003984963004711517,,,NEUTRAL,0,False,-0.036727879799666074,,MSCI World - S&P500,-0.2881576129084899,0.2881576129084899,BETA,0.0,0.0,1.0,,0.0
2001-07-05,ols,1.8185,1.8053178566952006,1.8053178566952006,1.1893377643484635,0.24029572623448056,0.9490420381139829,0.124991472866268,0.11790638357773564,0.6222272861963417,0.6222272861963417,0.617170117412273,0.6234754866207106,250,2,"MSCI World - S&P500, Gold",0.01785099715650404,MSCI World - S&P500,Gold,,-0.29107724003262336,-0.1772717338111574,,,,,BETA,{},,,,,,,True,False,,0.013182143304799387,,,NEUTRAL,0,False,-0.04718174319494095,,MSCI World - S&P500,-0.29107724003262336,0.29107724003262336,BETA,0.0,0.0,1.0,,0.0
2001-07-06,ols,1.7945,1.8025189855623551,1.8025189855623551,-1.3285553839381792,-0.15515511464057619,-1.1734002692976029,0.1276688361580569,0.12060542592451884,0.6239060109433687,0.6239060109433687,0.6138888654015684,0.6251575789232726,250,2,"MSCI World - S&P500, Gold",0.023934207364777596,MSCI World - S&P500,Gold,,-0.29304408407863675,-0.18116179343594094,,,,,BETA,{},,,,,,,True,False,,-0.008018985562355141,,,NEUTRAL,0,False,-0.0384508219559766,,MSCI World - S&P500,-0.29304408407863675,0.29304408407863675,BETA,0.0,-0.0,1.0,,0.0
2001-07-09,ols,1.7964,1.803347328948835,1.803347328948835,0.105823062592103,0.04594421028407171,0.05987885230803129,0.12979785346432815,0.12275168223731858,0.6280717150220047,0.6280717150220047,0.6200711703527474,0.6293316394878969,250,2,"MSCI World - S&P500, Gold",0.02011567829725706,MSCI World - S&P500,Gold,,-0.29846572107642005,-0.18306916726365993,,,,,BETA,{},,,,,,,True,False,,-0.0069473289488350964,,,NEUTRAL,0,False,-0.034012469383210786,,MSCI World - S&P500,-0.29846572107642005,0.29846572107642005,BETA,0.0,0.0,1.0,,0.0
2001-07-10,ols,1.7795,1.7994227489435084,1.7994227489435084,-0.9452236263335468,-0.2178646692856925,-0.7273589570478544,0.13051492751392402,0.1234745625545225,0.6275044380829032,0.6275044380829032,0.6193904919713727,0.6287632245798703,250,2,"MSCI World - S&P500, Gold",0.018609731707705517,MSCI World - S&P500,Gold,,-0.30157113158215537,-0.18161968952947816,,,,,BETA,{},,,,,,,True,False,,-0.019922748943508317,,,NEUTRAL,0,False,-0.03264962067996635,,MSCI World - S&P500,-0.30157113158215537,0.30157113158215537,BETA,0.0,-0.0,1.0,,0.0
2001-07-11,ols,1.7608,1.7988094841363154,1.7988094841363154,-1.0564174737995646,-0.03408700569647402,-1.0223304681030907,0.13676956329543688,0.1297798431601772,0.62473608536984,0.62473608536984,0.6236183583915675,0.6259893184957032,250,2,"MSCI World - S&P500, Gold",0.020184589062652376,MSCI World - S&P500,Gold,,-0.3145281475542449,-0.17999714452379256,,,,,BETA,{},,,,,,,True,False,,-0.03800948413631544,,,NEUTRAL,0,False,-0.026294865970013626,,MSCI World - S&P500,-0.3145281475542449,0.3145281475542449,BETA,0.0,-0.0,1.0,,0.0
2001-07-12,ols,1.7725,1.8052331570305398,1.8052331570305398,0.6622728194030758,0.35647079327306064,0.30580202613001517,0.13618630934567366,0.12919186650636727,0.6280304840596735,0.6280304840596735,0.6259588510844547,0.6292903258154279,250,2,"MSCI World - S&P500, Gold",0.015870231634630513,MSCI World - S&P500,Gold,,-0.3105676154143916,-0.18571914436366985,,,,,BETA,{},,,,,,,True,False,,-0.032733157030539806,,,NEUTRAL,0,False,-0.02758815232722145,,MSCI World - S&P500,-0.3105676154143916,0.3105676154143916,BETA,0.0,0.0,1.0,,0.0
2001-07-13,ols,1.7738,1.8060986553864466,1.8060986553864466,0.0733158536069478,0.04793236497969098,0.02538348862725682,0.13663577208933708,0.1296449686244734,0.6278157304106274,0.6278157304106274,0.626565413434003,0.6290751413662516,250,2,"MSCI World - S&P500, Gold",0.015488512671374076,MSCI World - S&P500,Gold,,-0.31056323031629113,-0.1857498402827347,,,,,BETA,{},,,,,,,True,False,,-0.032298655386446606,,,NEUTRAL,0,False,-0.027511557109031415,,MSCI World - S&P500,-0.31056323031629113,0.31056323031629113,BETA,0.0,0.0,1.0,,0.0
2001-07-16,ols,1.769,1.8038861611860626,1.8038861611860626,-0.270972278256687,-0.12257638687282893,-0.1483958913838581,0.1388714762612221,0.13189877566414687,0.624960441014626,0.624960441014626,0.6264456911105902,0.6262141242024155,250,2,"MSCI World - S&P500, Gold",0.011735457035626756,MSCI World - S&P500,Gold,,-0.31402766606869587,-0.18514197755282466,,,,,BETA,{},,,,,,,True,False,,-0.03488616118606269,,,NEUTRAL,0,False,-0.023911814584511082,,MSCI World - S&P500,-0.31402766606869587,0.31402766606869587,BETA,0.0,-0.0,1.0,,0.0
2001-07-17,ols,1.7708,1.8081029394488703,1.8081029394488703,0.1017006698200706,0.2334879791177143,-0.1317873092976437,0.14044127636196146,0.1334812866968761,0.6241751103514054,0.6241751103514054,0.6242338935782761,0.6254272181501227,250,2,"MSCI World - S&P500, Gold",0.013157128003593787,MSCI World - S&P500,Gold,,-0.31546073714777917,-0.18618634298283523,,,,,BETA,{},,,,,,,True,False,-0.22526601096937765,-0.03730293944887042,,,NEUTRAL,0,False,-0.02388750847074772,,MSCI World - S&P500,-0.31546073714777917,0.31546073714777917,BETA,0.0,0.0,1.0,,0.0
